ACCE_ABSORB_COST	Costo dell'assorbimento: %d
MAP_SPIDERDUNGEON_02_1	Sotterraneo dei Ragni 2
MAP_SPIDERDUNGEON_03	Sotterraneo dei Ragni 3
MAP_SUNGZI	Guerra dei Regni
MAP_SUNGZI_DESERT_01	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_01	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_02	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_03	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_01	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_02	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_03	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_SNOW	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS01	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS02	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS03	Terra dei Ghiacci - Guerra dei Regni
MAP_T1	Area della Guerra tra Gilde
MAP_T2	Area della Guerra tra Gilde
MAP_T3	Area della Guerra tra Gilde
MAP_T4	Area della Guerra tra Gilde
MAP_TEMPLE	Tempio Hwang
MAP_THUNDER	Monti Tonanti
MAP_TREE	Lungsam
MAP_TRENT	Bosco Fantasma
MAP_TRENT02	Bosco Rosso
MAP_TRENT02_A	Bosco Rosso
MAP_TRENT_A	
MAP_WEDDING_01	Mappa dei Matrimoni
MAP_WL	Campo Serpi
MAP_WL_01	Campo Serpi
MC_ACCUMULATION_COUNT	Carte mostro raccolte: %d
MC_ALTER_TEXT	Livello missione %d
MC_CARD_FALL_SHORT	Le carte registrate non sono sufficienti.
MC_CARD_SHUFFLE	Vuoi riordinare le carte?
MC_INIT_ITEM_FALL_SHORT	Hai bisogno di %d carta/e del nuovo inizio.
MC_MISSION_FAIL_MSG	Nessuna missione attiva o limite superato.
MC_MISSION_INIT	Vuoi reimpostare la missione al livello 1?
MC_MISSION_NO_CLEAR	Prima devi completare la missione.
MC_MOTION_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 2° stella.
MC_POLY_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 3° stella.
MC_POLY_FAIL	Ora non puoi trasformarti.
MC_POLY_QUESTION	Vuoi trasformarti in questo mostro?
MC_PROMOTION_MAX	Non è più possibile effettuare un miglioramento.
MC_PROMOTION_QUESTION	Vuoi salire di livello?
MC_QUESTION_BUTTON_DESC1	È possibile reimpostare un massimo di 6 volte ogni 24 ore.
MC_QUESTION_BUTTON_DESC2	Carta del nuovo inizio
MC_QUESTION_BUTTON_DESC3	Clicca qui per visualizzare il tempo di ricarica restante.
MC_REWARD_FAIL	Non hai abbastanza spazio nell'inventario.
MC_REWARD_MISSION	Vuoi ottenere ora la tua carta mostro?
MC_SHUFFLE_NO_ITEM	Non hai alcuna carta del nuovo ordine.
MC_TIME	Tempo di ricarica: %s.
MC_TRADE_QUESTION	Ti verranno prelevate %d carte. Vuoi continuare?
MC_USE_ITEM_FAIL	Impossibile aggiungere questa carta.
MC_USE_ITEM_QUESTION	Vuoi aggiungere questa carta mostro?
MC_WARP_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 4° stella.
MC_WARP_FAIL	Non puoi più teletrasportarti.
MC_WARP_LIMIT_LEVEL	Il tuo il livello attuale non è sufficiente per teletrasportarti.
MC_WARP_QUESTION	Vuoi teletrasportarti nella zona di questo mostro?
MD_POPUP_MSG_1	Puoi accedere solamente dal Tempio dello Zodiaco.
MD_POPUP_MSG_2	I guardiani dello zodiaco devono rigenerare la loro forza.\nDagli un po' di tempo.
MD_SYSTEM_MSG_1	Non sei uno zombie. Non puoi combattere mentre sei morto.
MEDAL_OF_HONOR	Medaglia del coraggio
MEDAL_OF_HONOR_SYSTEM_PICK	Item ottenuto: Medaglia del coraggio x %d
MESSENGER_ADD_BLOCK_FRIEND	Aggiungi
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_BLOCK	Bloccato
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s vuole essere tuo amico.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accetti?
MESSENGER_DO_YOU_DELETE	Cancelli?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Desideri cancellare il numero di cellulare?
MESSENGER_DO_YOU_MOVE	Desideri andare avanti?
MESSENGER_EMPTY_LIST	Vuoto
MESSENGER_FAMILY	Famiglia
MESSENGER_FRIEND	Amici
MESSENGER_GUILD	Gilda
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Inserisci il codice di conferma che è stato inviato al tuo cellulare.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Inserisci il codice di conferma
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Inserisci il numero di cellulare per l'invio di SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Desideri inserire il numero ora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Inserisci numero di cellulare
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Invia messaggio.
METIN_TEST	
MINIGAMEUI_CALENDAR	Calendario degli eventi
MINIGAME_FISH_EVENT_ADD_ACCEPT	Vuoi aggiungerlo?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Vuoi veramente lasciar cadere questo oggetto?
MINIGAME_FISH_EVENT_REWARD_MSG	Hai ricevuto %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	Vuoi usarlo?
MINIMAP	Mini-mappa
MINIMAP_CANNOT_SEE	La mappa miniaturizzata non può essere visualizzata.
MINIMAP_CAN_NOT_SHOW_AREAMAP	La mappa non può essere visualizzata.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in
MINIMAP_OBSERVER_COUNT	%d Spettatori
MINIMAP_OPEN_INGAMEEVENT	Eventi
MINIMAP_SHOW_AREAMAP	Apri mappa grande
MINI_GAME_BNW_DONATE_QUESTION1	Vuoi effettuare una donazione?
MINI_GAME_BNW_DONATE_QUESTION2	Una donazione costa 15 Monete Veggenza.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Vuoi davvero interrompere la partita?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Solo se vinci, riceverai delle ricompense. Ricordatelo.
MINI_GAME_BNW_GAME_RESULT_DRAW	Parità! Hai ricevuto %d Monete Veggenza.
MINI_GAME_BNW_GAME_RESULT_LOSE	Sconfitta! Hai ricevuto %d Monete Veggenza.
MINI_GAME_BNW_GAME_RESULT_SCORE	Punteggio: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Vittoria! Hai ricevuto %d Monete Veggenza.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Non hai abbastanza spazio nell'inventario.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Per giocare hai bisogno di un Set Tarot.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Non hai abbastanza Yang per poter giocare.
MINI_GAME_BNW_RESULT_DRAW1	La cifra riportata sulla tua carta è la stessa della carta del tuo avversario.
MINI_GAME_BNW_RESULT_DRAW2	Parità!
MINI_GAME_BNW_RESULT_LOSE1	La cifra riportata sua tua carta è minore rispetto a quella della carta del tuo avversario.
MINI_GAME_BNW_RESULT_LOSE2	Sconfitta!
MINI_GAME_BNW_RESULT_WIN1	La cifra riportata sua tua carta è maggiore rispetto a quella della carta del tuo avversario.
MINI_GAME_BNW_RESULT_WIN2	Vittoria!
MINI_GAME_BNW_START_QUESTION	Per giocare hai bisogno di 30.000 Yang e di un Set Tarot. Vuoi partecipare alla gara?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	In caso tu usi più unità del %s, riceverai la stessa quantità di bauli come vincita.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	È possibile usare %d Mazzi del re al massimo.
MINI_GAME_CATCHKING_HELP_MSG1	Peccato! Il valore della tua carta è inferiore.\nNon ottieni punti. Scegli una nuova carta dal mazzo.
MINI_GAME_CATCHKING_HELP_MSG2	Ottimo lavoro! Queste carte hanno lo stesso valore.\nIl tuo turno di gioco è terminato. Scegli una nuova carta dal mazzo.
MINI_GAME_CATCHKING_HELP_MSG3	Continua così! Il valore della tua carta è superiore.\nScopri un'altra carta.
MINI_GAME_CATCHKING_HELP_MSG4	Vicino alla tua carta c'era un [5].\nNon ottieni punti. Ora scegli il re [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Il re ti è sfuggito! La partita è finita. \nQualora tu abbia totalizzato un minimo di 10 punti, puoi ritirare la tua vincita.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Non puoi ritirare alcuna vincita.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	C'è un [5] nelle vicinanze.
MINI_GAME_CATCHKING_START_QUESTION	In questo turno, ti verranno detratti Yang (%d) e %s (%d unità).\nVuoi giocare adesso?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Può acchiappare la seguente carta: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Può acchiappare le seguenti carte: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Può acchiappare le seguenti carte: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Può acchiappare le seguenti carte: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Può acchiappare le, seguenti carte: [1], [2], [3], [4], [5]\nSe un altro [5] dovesse trovarsi accanto alla tua carta scoperta,\nil turno si concluderà e non riceverai punti.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Può acchiappare la seguente carta: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: minimo 550
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 ~ 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 ~ 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Ricevi 10 punti extra se riesci a scoprire tutte le carte di una fila.
MINI_GAME_GIVEUP_QUESTION	Vuoi davvero interrompere la partita? In questo caso, dovrai rinunciare alla tua ricompensa.
MINI_GAME_NOTICE_1	Clicca su "Lancia" per decidere chi sarà a iniziare.
MINI_GAME_NOTICE_10	Ah! Hai cacciato via il computer dalla sua casella.
MINI_GAME_NOTICE_11	Che sfortuna! Il computer ti ha cacciato via dalla tua casella.
MINI_GAME_NOTICE_12	Avevi Yut oppure Mo e quindi puoi lanciare di nuovo.
MINI_GAME_NOTICE_13	La partita è finita. Ritira la tua ricompensa.
MINI_GAME_NOTICE_2	Lancia i bastoncini Yut.
MINI_GAME_NOTICE_3	Il computer lancia i bastoncini Yut per determinare chi inizia.
MINI_GAME_NOTICE_4	Il computer ha effettuato un lancio di punteggio identico o inferiore e pertanto può iniziare.
MINI_GAME_NOTICE_5	Hai fatto il lancio più basso: sarai tu a iniziare.
MINI_GAME_NOTICE_6	Il tuo lancio: %s. Muoviti in avanti di %d casella/e.
MINI_GAME_NOTICE_7	Il tuo lancio: %s. Devi tornare indietro di 1 casella.
MINI_GAME_NOTICE_8	Lancio: %s
MINI_GAME_NOTICE_9	Ora tocca al computer.
MINI_GAME_RUMI_DISCARD_QUESTION	Vuoi veramente gettar via questa carta?
MINI_GAME_RUMI_EXIT_QUESTION	Vuoi terminare la manche e acquisire la tua vincita?\nI tuoi punti e le carte rimanenti verranno resettati.
MINI_GAME_RUMI_START_QUESTION	Per poter giocare, devi pagare %d Yang. Inoltre, avrai bisogno di %d set di carte.\nVuoi iniziare a giocare?
MINI_GAME_YUTNORI_COM_WIN	A volte si perde e a volte vincono gli avversari.
MINI_GAME_YUTNORI_PC_WIN	Ecco come sono i vincitori, schalalalala!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Punteggio: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Lancia
MINI_GAME_YUTNORI_RETHROW_POPUP	La fortuna ti sorride! Tocca di nuovo a te.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Per iniziare a giocare a Yutnori, ti servono %d Yang e %d un tavoliere da Yutnori. \n Vuoi giocare adesso?
MINUTE	m
MISTS_ISLAND_BUFF_MSG_01	Energia +2
MISTS_ISLAND_BUFF_MSG_02	Tasso di drop item +10%
MISTS_ISLAND_BUFF_MSG_03	Forza, intelligenza, vitalità, destrezza +3
MISTS_ISLAND_BUFF_MSG_04	Drop di Yang +10%
MISTS_ISLAND_BUFF_MSG_05	Incrementa del 3% i bonus costume
MISTS_ISLAND_INFO_01	Il tuo livello è troppo basso.
MISTS_ISLAND_INFO_02	Non hai abbastanza Yang.
MISTS_ISLAND_INFO_03	Al momento non ci sono battaglie in corso.
MISTS_ISLAND_MSG_01	%s è stato distrutto da %s.
MISTS_ISLAND_MSG_02	%s ha conquistato %s!
MISTS_ISLAND_MSG_03	%s ha occupato %s.
MISTS_ISLAND_MSG_04	%s attacca %s!
MISTS_ISLAND_MSG_05	%s ha eseguito il rafforzamento correttamente. %s è ora al livello %d.
MISTS_ISLAND_MSG_06	%s è comparso sul campo di battaglia.
MISTS_ISLAND_QUESTION_01	Vuoi abbandonare la Battaglia dei 5 Santuari?
MISTS_ISLAND_QUESTION_02	Vuoi teletrasportarti al santuario che ha subito l'attacco? \n Costo: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Regno occupatore: %s
MISTS_ISLAND_TOOLTIP_03	Livello miglioramento: +%d
MISTS_ISLAND_TOOLTIP_04	Buff occupazione: %s
MISTS_ISLAND_TOOLTIP_05	Conquista dei santuari
MISTS_ISLAND_TOOLTIP_06	1) Un santuario, per essere acquisito, deve essere prima distrutto.
MISTS_ISLAND_TOOLTIP_07	2) Il regno, che dopo 1 minuto riesce a far avvicinare il più possibile i suoi guerrieri al santuario, conquista il santuario.
MISTS_ISLAND_TOOLTIP_08	3) Dopo 3 minuti il santuario occupato acquisisce il colore del regno che l'ha conquistato.
MISTS_ISLAND_TOOLTIP_09	4) Più un santuario rimane sotto il controllo dello stesso regno e più diventa difficile espugnarlo.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	diecimila
MONETARY_UNIT2	cento milioni
MONEY_INPUT_DIALOG_SELLPRICE	Prezzo di vendita:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Interrompi
MOVE_CHANNEL_NOTICE	Sei collegato al canale %d.
MOVE_CHANNEL_NOT_MOVE	Non puoi cambiare canale.
MOVE_CHANNEL_SELECT	Ok
MOVE_CHANNEL_TITLE	Scelta del canale
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi spostare degli oggetti se hai un negozio privato aperto.
MUSIC_EMPTY_MUSIC_LIST	Nessuna musica di sottofondo.
MUSIC_METIN2_DEFAULT_THEMA	Musica standard di Metin2
MUSIC_NOT_SELECT_MUSIC	Non è stato scelto nessun file musicale.
NEEFD_REST	Devi prima riposarti.
NOT_YET_SUPPORT	Non è supportato.
OPEN_THE_SPECIAL_ACTION_KIT	%s fa ora parte delle emozioni.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Non puoi attivare la modalità Gilda se non appartieni ad una Gilda.
OPTION_PVPMODE_NOT_SUPPORT	Non puoi usare la configuarazione PvP.
OPTION_PVPMODE_PROTECT	Devi aver raggiunto il livello %d per modificare la modalità PvP.
PARTY_ANSWER_TIMEOVER	L'invito è stato rifiutato.
PARTY_BONUS_ATTACKER	Valore d'attacco: +%d	SA
PARTY_BONUS_BERSERKER	Velocità d'attacco: +%d	SA
PARTY_BONUS_BUFFER	Durata dell'abilità: +%d	SA
PARTY_BONUS_DEFENDER	Difesa: +%d	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Sciogli gruppo
PARTY_DO_YOU_ACCEPT	  desidera entrare nel gruppo.
PARTY_DO_YOU_JOIN	 ti ha invitato a unirti al suo gruppo. Accetti?
PARTY_EXP_DISTRIBUTION_MODE	Divisione per EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	In base al livello
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	I membri di livello più alto ricevono più EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Equilibrato
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tutti i membri del gruppo ricevono la stessa quantità di EXP.
PARTY_HEAL_ALL_MEMBER	Rigenerare tutto
PARTY_INCREASE_AREA_150	Raggio d'azione del gruppo alzato di fattore 1,5.	SNA
PARTY_INCREASE_AREA_200	Raggio d'azione del gruppo alzato di fattore 2.	SNA
PARTY_LEAVE	Abbandona il gruppo.
PARTY_LONGTIME_BONUS_EXP	EXP bonus per un gioco di gruppo lungo: +%d%%	SA
PARTY_MATCH_CANCEL	La Ricerca gruppi per [%s] è stata annullata.
PARTY_MATCH_FAIL_FULL_MEMBER	Il tuo gruppo non può accettare altri membri.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Non puoi registrarti per questo Dungeon.
PARTY_MATCH_FAIL_LEVEL	Il tuo livello è troppo basso.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	%s, uno dei membri del gruppo, non soddisfa i requisiti necessari.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Scegli innanzitutto un Dungeon.
PARTY_MATCH_FAIL_NOT_LEADER	Solo il capogruppo può effettuare la registrazione.
PARTY_MATCH_FAIL_NO_ITEM	Non hai abbastanza %s.
PARTY_MATCH_SEARCHING	Cerca
PARTY_MATCH_START	Hai registrato il tuo gruppo per il seguente Dungeon: [%s]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Chiamare a sè un membro del gruppo.
PARTY_REGEN_BONUS	Bonus per HP + Rigenerazione MP: +%d%%	SA
PARTY_REQUEST_DENIED	La tua richiesta è stata rifiutata.
PARTY_RK_CATEGORY_CZ_CHICKEN	Classifica del Guardiano Yu
PARTY_RK_CATEGORY_CZ_COW	Classifica del Guardiano Chou
PARTY_RK_CATEGORY_CZ_DOG	Classifica del Guardiano Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Classifica del Guardiano Chen
PARTY_RK_CATEGORY_CZ_HORSE	Classifica del Guardiano Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Classifica del Guardiano Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Classifica del Guardiano Zi
PARTY_RK_CATEGORY_CZ_PIG	Classifica del Guardiano Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Classifica della Guardiana Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Classifica del Guardiano Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Classifica della Guardiana Si
PARTY_RK_CATEGORY_CZ_TIGER	Classifica del Guardiano Yin
PARTY_SET_ATTACKER	Annotare come aggressore.
PARTY_SET_BERSERKER	Annotare come feroce.
PARTY_SET_BUFFER	Annotare come bloccatore.
PARTY_SET_DEFENDER	Annotare come difensore.
PARTY_SET_NORMAL	Annullare le impostazioni.
PARTY_SET_SKILL_MASTER	Annotare come maestro delle abilità.
PARTY_SET_TANKER	Annotare come lottatore corpo a corpo.
PARTY_SKILL_ATTACKER	Valore d'attacco base aggressore  +%.0f
PARTY_SKILL_BERSERKER	Velocità d'attacco feroce +%.0f
PARTY_SKILL_BUFFER	Durata dell'abilità bloccatore +%.0f
PARTY_SKILL_DEFENDER	Difesa difensore +%.0f
PARTY_SKILL_HP_REGEN	Rigenerazione HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Raggio d'azione del gruppo +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP maestro delle abilità +%.0f
PARTY_SKILL_SP_REGEN	Rigenerazione MP +%.0f%%
PARTY_SKILL_TANKER	Max. HP lottatore corpo a corpo +%.0f
PARTY_SKILL_WARP	Capacità di chiamare a sè i membri del gruppo.
PASSWORD_TITLE	Password Magazzino
PET_ATTR_CHANGE_DIALOG_TEXT	Vuoi modificare gli attributi del tuo pet?\n Quest'azione consuma l'item Incanta pet.\n Il processo potrebbe non andare a buon fine.
PET_ATTR_CHANGE_USE	Non è possibile eseguire quest'azione durante la modifica degli attributi del pet.
PET_ATTR_DETERMINE_TYPE1	Tipologia 1: goffo. Non è particolarmente forte.\nCon il tempo puoi migliorarne le abilità.
PET_ATTR_DETERMINE_TYPE2	Tipologia 2: curioso. Non è particolarmente forte.\nÈ un compagno fedele che con il tempo migliora le proprie abilità.
PET_ATTR_DETERMINE_TYPE3	Tipologia 3: intrepido. È moderatamente forte.\nCon il tempo puoi migliorarne le abilità.
PET_ATTR_DETERMINE_TYPE4	Tipologia 4: coraggioso. È moderatamente forte.\nÈ un compagno fedele che con il tempo migliora le proprie abilità.
PET_ATTR_DETERMINE_TYPE5	Tipologia 5: temerario. È forte.\nCon il tempo puoi migliorarne ulteriormente le abilità.
PET_ATTR_DETERMINE_TYPE6	Tipologia 6: leggendario. È forte.\nÈ un compagno fedele che con il tempo migliora ulteriormente le proprie abilità.
PET_ATTR_DETERMINE_TYPE7	Tipologia 7: mitico. È molto forte.\nCon il tempo, sprigionerà tutto il suo potenziale.
PET_ATTR_DETERMINE_TYPE8	Tipologia 8: prismatico. È estremamente forte.\nÈ un compagno fedele del quale ci si può fidare a occhi chiusi.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Non puoi nutrire il tuo pet, se la finestra del raffinamento è aperta.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Non puoi modificare gli attributi di un pet morto.
PET_CAN_NOT_EGG_ITEM_USE	Non puoi aprire l'Incubatrice mentre stai commerciando, oppure mentre il tuo magazzino o il negozio privato sono aperti.
PET_CAN_NOT_FEED_SPLIT_ITEM	Non puoi inserire un oggetto diviso in questa finestra.
PET_CAN_NOT_FEED_TYPE	In questo modo non potrai dar da mangiare al tuo pet. Prova con un'altra azione.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto il livello %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto il 100% di esperienza.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Il tuo pet ha già raggiunto il massimo livello di evoluzione.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Non puoi aprire un negozio privato se hai già chiamato il tuo pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Al fine di addestrare il tuo pet per portarlo al prossimo livello di evoluzione, è necessario che esso abbia raggiunto %d giorni di età.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Non puoi chiamare il pet perché il tempo è scaduto.
PET_CAN_NOT_USE_BAG	Non puoi usare il Trasportino se il periodo di utilizzo del pet è scaduto.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Questo pet non ha delle abilità che si possano resettare.
PET_HATCHING_ACCEPT	Vuoi chiamare il tuo pet "%s"?
PET_HATCHING_MONEY	Prezzo: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Non puoi eseguire nessuna interazione mentre l'Incubatrice è aperta.
PET_INFORMATION_STAGE1	Cucciolo
PET_INFORMATION_STAGE2	Selvatico
PET_INFORMATION_STAGE3	Coraggioso
PET_INFORMATION_STAGE4	Eroico
PET_INFO_EXP	Esperienza attuale:
PET_INFO_ITEM_EXP	Attuali item EXP
PET_INFO_NEXT_EXP	Esperienza rimanente:
PET_INFO_NEXT_ITEM_EXP	Item EXP rimanenti
PET_MSG_NOT_ENOUGH_MONEY	Non hai abbastanza Yang.
PET_NAME_CHANGE_ACCEPT	Vuoi modificare il nome del tuo pet in "%s"?
PET_NAME_MIN	Il nome inserito è troppo corto.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Non hai un pet da resuscitare.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Non hai abbastanza materiale.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Ora le abilità sono disponibili.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Il reset della/delle abilità del tuo pet è irreversibile.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Vuoi continuare?
PET_SKILL_LEARN_FAIL_CONDITIONS	Il tuo pet è troppo giovane o non possiede il livello richiesto. Solo i pet eroi possono apprendere le abilità.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Vuoi avviare l'addestramento eroico con "%s".
PET_SKILL_TOOLTIP_COOLTIME	Tempo di ricarica: %d secondi
PET_SKILL_TOOLTIP_DURATION	Durata: %d secondi
PET_SKILL_TOOLTIP_FEATHER	Il pet potrebbe attivare Passo piumato (%d%% di probabilità) per %.1f secondi.\n Attacco %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Se i tuoi HP scendono al di sotto del 20%%, ottieni un\n %d%% di possibilità che i tuoi HP aumentino di un %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Il tuo personaggio ha una possibilità di un %d%% di diventare invincibile\n quando i suoi HP scendono al di sotto di un 10%%.\n Durata dell'effetto: %.1f secondi.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Rimuove immediatamente tutti gli effetti di avvelenamento, di rallentamento o\n di sanguinamento con una probabilità di un %d%%\n ogni volta che il tuo personaggio viene colpito.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Vuoi portare l'addestramento eroico al prossimo livello?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Costi: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Difesa
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Livello
PET_TOOLTIP_LIFETIME_OVER	Scaduto
PET_TOOLTIP_SKILL_BONUS_VALUE	in fase di addestramento eroico
PET_TOOLTIP_SKILL_CUR_LEVEL	Livello: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Prossimo livello: %d (max. %d)
PET_TOOLTIP_SP	MP
PET_TOOLTIP_TRADABLE	Commerciabile
PET_TOOLTUP_SKILL	%s (livello %d)
PICK_ITEM_TITLE	Numero dell'oggetto
PICK_MONEY_TITLE	Prezzo
PRIVATESHOPSEARCH_ABLITY_POTION	Rugiada
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Stoffa sottile
PRIVATESHOPSEARCH_ARMOR	Equipaggiamento
PRIVATESHOPSEARCH_ARROW	Frecce
PRIVATESHOPSEARCH_BELL	Campane
PRIVATESHOPSEARCH_BELT	Cintura
PRIVATESHOPSEARCH_BLEND	Pozioni
PRIVATESHOPSEARCH_BLOOD_PEARL	Perla rossa
PRIVATESHOPSEARCH_BLUE_PEARL	Perla blu
PRIVATESHOPSEARCH_BODY	Equipaggiamenti
PRIVATESHOPSEARCH_BOW	Archi
PRIVATESHOPSEARCH_BUYTIME	Vuoi acquistare l'oggetto selezionato?
PRIVATESHOPSEARCH_CLAW	Artigli
PRIVATESHOPSEARCH_CLEAR_POTION	Elisir
PRIVATESHOPSEARCH_COSTUME	Costumi
PRIVATESHOPSEARCH_COSTUMEBODY	Costume
PRIVATESHOPSEARCH_COSTUMEHAIR	Pettinatura
PRIVATESHOPSEARCH_COSTUME_ACCE	Stole
