ACCE_ABSORB_COST	Absorberrings pris: %d
MC_MOTION_BUTTON_OVER_MSG	Denne mulighed aktiveres først ved 2 stjerner.
MC_POLY_BUTTON_OVER_MSG	Denne mulighed aktiveres først ved 3 stjerner.
MC_POLY_FAIL	Du kan ikke transformere lige nu.
MC_POLY_QUESTION	Ønsker du at transformere om til dette monster?
MC_PROMOTION_MAX	Kan ikke forfremmes yderligere.
MC_PROMOTION_QUESTION	Vil du øge level?
MC_QUESTION_BUTTON_DESC1	Kan kun blive nulstillet 6 gange indenfor 24 timer.
MC_QUESTION_BUTTON_DESC2	Hver efterfølgende nulstilling kræver flere Nulstillings Billetter.
MC_QUESTION_BUTTON_DESC3	Klik her for at vise den tilbageværende nedkølings tid.
MC_REWARD_FAIL	Der er ikke nok plads i dit inventar.
MC_REWARD_MISSION	Vil du tage imod dit Monster Kort nu?
MC_SHUFFLE_NO_ITEM	Du har ikke en Omblandings Billet.
MC_TIME	Klargørings-tid: %s
MC_TRADE_QUESTION	%d kort vil blive trukket fra. Vil du fortsætte?
MC_USE_ITEM_FAIL	Disse kort kan ikke tilføjes.
MC_USE_ITEM_QUESTION	Vil du tilføje dette Monster Kort?
MC_WARP_BUTTON_OVER_MSG	Denne mulighed aktiveres først ved 4 stjerner.
MC_WARP_FAIL	Du kan ikke teleportere yderligere.
MC_WARP_LIMIT_LEVEL	Dit nuværende level er ikke højt nok til at teleportere.
MC_WARP_QUESTION	Vil du teleportere til dette monsters område?
MD_POPUP_MSG_1	Du kan kun komme ind fra Zodiac Templet.
MD_POPUP_MSG_2	Zodiac Vagterne skal lige komme sig.\nGiv dem noget tid.
MD_SYSTEM_MSG_1	Du er ikke en zombie. Du kan ikke kæmpe når du er død.
MEDAL_OF_HONOR	Tapperheds Medalje
MEDAL_OF_HONOR_SYSTEM_PICK	Genstand modtaget: Tapperheds Medalje x %d
MESSENGER_ADD_BLOCK_FRIEND	Tilføj
MESSENGER_ADD_FRIEND	Tilføj ven
MESSENGER_BLOCK	Blokeret
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s har accepteret dig som ven.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepter?
MESSENGER_DO_YOU_DELETE	Slet?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vil du slette mobilnr.?
MESSENGER_DO_YOU_MOVE	Vil du fortsætte?
MESSENGER_EMPTY_LIST	Tom
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Venner
MESSENGER_GUILD	Orden
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Indtast bekræftigelses-koden der blev sendt til dit mobilnr.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Indtast bekræftigelses-kode
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Indtast mobilnr. for SMS-tilsending.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vil du indtaste dette nr.?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Angiv mobilnr.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Afsend meddelelse.
METIN_TEST	
MINIGAMEUI_CALENDAR	Event Kalender
MINIGAME_FISH_EVENT_ADD_ACCEPT	Ønsker du at tilføje dette?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Ønsker du virkelig at droppe denne genstand?
MINIGAME_FISH_EVENT_REWARD_MSG	Du har modtaget %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	Ønsker du at bruge dette?
MINIMAP	Åben Minimap
MINIMAP_CANNOT_SEE	Minikort kan ikke vises.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Kortet kan ikke vises.
MINIMAP_DEC_SCALE	Minimer
MINIMAP_INC_SCALE	Maximer
MINIMAP_OBSERVER_COUNT	%d tilskuer
MINIMAP_OPEN_INGAMEEVENT	Events
MINIMAP_SHOW_AREAMAP	Åben stort kort
MINI_GAME_BNW_DONATE_QUESTION1	Ønsker du at donere?
MINI_GAME_BNW_DONATE_QUESTION2	En donation koster 15 Seer Mønter.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Ønsker du virkelig at forlade spillet?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Husk at du kan optjene belønninger, hvis du vinder.
MINI_GAME_BNW_GAME_RESULT_DRAW	Uafgjort! Du har optjent %d Seer Mønt(er).
MINI_GAME_BNW_GAME_RESULT_LOSE	Besejret! Du har optjent %d Seer Mønt(er).
MINI_GAME_BNW_GAME_RESULT_SCORE	Score: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Sejr! Du har optjent %d Seer Mønt(er).
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Der er ikke nok plads i dit inventar.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Du skal bruge et Tarot Sæt for at spille.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Du har ikke nok Yang til at starte spillet.
MINI_GAME_BNW_RESULT_DRAW1	Dit nummer er den samme.
MINI_GAME_BNW_RESULT_DRAW2	Uafgjort!
MINI_GAME_BNW_RESULT_LOSE1	Dit nummer er mindre.
MINI_GAME_BNW_RESULT_LOSE2	Besejret!
MINI_GAME_BNW_RESULT_WIN1	Dit nummer er større.
MINI_GAME_BNW_RESULT_WIN2	Sejr!
MINI_GAME_BNW_START_QUESTION	Du skal bruge et Tarot Sæt og 30.000 Yang for at spille. Ønsker du at deltage i Seernes Duel?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Hvis du satser flere %s, vil du blive belønnet med det samme antal kister.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Højeste satsning: %d Konge Dæk.
MINI_GAME_CATCHKING_HELP_MSG1	Sikke en skam! Dit korts værdi er lavere. \nDu optjener ikke nogen point. Vælg et nyt kort fra dit dæk.
MINI_GAME_CATCHKING_HELP_MSG2	Flot arbejde! Kortene har den samme værdi.\nDin tur er slut. Vælg et nyt kort fra dit dæk.
MINI_GAME_CATCHKING_HELP_MSG3	Fortsæt! Dit korts værdi er højere.\nVend et andet kort.
MINI_GAME_CATCHKING_HELP_MSG4	Der var et [5] inden for rækkevidde af det kort du afslørede.\nDesværre optjener du ikke nogen point. Vælg din Konge [K] nu.
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Kongen slap væk! Spillet er slut. \nHvis du har optjent mindst 10 point, kan du nu indløse din præmie.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Du kan ikke indløse nogen præmie.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Der er en [5] i nærheden.
MINI_GAME_CATCHKING_START_QUESTION	Du skal betale følgende for et spil: %d Yang og %s: %d lots\nVil du gerne spille nu?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Kan fange følgende kort: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Kan fange følgende kort: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Kan fange følgende kort: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Kan fange følgende kort: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Kan fange følgende kort: [1], [2], [3], [4], [5]\nHvis et andet [5] er nabo til det kort som du afsløre,\nvil din tur ende og du vil ikke modtage nogen point.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Kan fange følgende kort: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 eller mere
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 til 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 til 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Du optjener 10 bonus point hvis du afsløre alle kortene i træk.
MINI_GAME_GIVEUP_QUESTION	Ønsker du virkelig at forlade spillet? Du vil ikke modtage nogen belønning.
MINI_GAME_NOTICE_1	Klik på 'Kast' for at bestemme start spilleren.
MINI_GAME_NOTICE_10	Ha! Du slog computeren ud!
MINI_GAME_NOTICE_11	Uheldigt! Computeren har slået dig ud.
MINI_GAME_NOTICE_12	Du havde Yut eller Mo og kan kaste igen.
MINI_GAME_NOTICE_13	Spillet er slut. Modtag din belønning.
MINI_GAME_NOTICE_2	Kast Yut Pinde.
MINI_GAME_NOTICE_3	Computeren kaster Yut Pinde for at bestemme start spilleren.
MINI_GAME_NOTICE_4	Det blev uafgjort eller computeren havde det lavest talte kast. Computeren vil begynde.
MINI_GAME_NOTICE_5	Du havde det lavest talte kast og vil begynde.
MINI_GAME_NOTICE_6	Dit kast: %s. Bevæg dig frem %d plads(er).
MINI_GAME_NOTICE_7	Dit kast: %s. Du skal bevæge dig 1 plads tilbage.
MINI_GAME_NOTICE_8	Kast: %s
MINI_GAME_NOTICE_9	Det er computerens tur.
MINI_GAME_RUMI_DISCARD_QUESTION	Vil du virkelig afskaffe dette kort?
MINI_GAME_RUMI_EXIT_QUESTION	Ønsker du at afslutte spillet og hente din præmie?\nDin score og resterende kort vil herefter blive nulstillet!
MINI_GAME_RUMI_START_QUESTION	Du skal betale et gebyr på %d Yang for at kunne spille. Du skal også bruge %d Kortsæt.\nVil du starte spillet?
MINI_GAME_YUTNORI_COM_WIN	Du vinder nogen, du taber nogen.
MINI_GAME_YUTNORI_PC_WIN	Til sejreren går byttet!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Score: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Kast
MINI_GAME_YUTNORI_RETHROW_POPUP	Heldig djævel! Det er din tur igen.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Du har brug for %d Yang og %d Yut Nori Bræt for at starte et spil Yut Nori. \n Spil nu?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energi +2
MISTS_ISLAND_BUFF_MSG_02	Genstandens Smidnings Sats +10%
MISTS_ISLAND_BUFF_MSG_03	Styrke, Intelligens, Vitalitet, Smidighed +3
MISTS_ISLAND_BUFF_MSG_04	Yang Smidnings Sats +10%
MISTS_ISLAND_BUFF_MSG_05	Kostume Bonusser +3%
MISTS_ISLAND_INFO_01	Din level er for lavt.
MISTS_ISLAND_INFO_02	Ikke nok Yang.
MISTS_ISLAND_INFO_03	Ingen kampe finder sted i øjeblikket.
MISTS_ISLAND_MSG_01	%s er blevet ødelagt af %s!
MISTS_ISLAND_MSG_02	%s har fanget %s!
MISTS_ISLAND_MSG_03	%s har optaget %s!
MISTS_ISLAND_MSG_04	%s angriber %s!
MISTS_ISLAND_MSG_05	%s har opgraderet %s til level %d med succes!
MISTS_ISLAND_MSG_06	%s er kommet frem på slagmarken!
MISTS_ISLAND_QUESTION_01	Ønsker du at forlade Kampen om de Fem Helligdomme?
MISTS_ISLAND_QUESTION_02	Ønsker du at teleportere dig til den senest angrebene helligdom? \n Koster: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Besætter Riget: %s
MISTS_ISLAND_TOOLTIP_03	Forbedrings Level: +%d
MISTS_ISLAND_TOOLTIP_04	Besættelses Buff: %s
MISTS_ISLAND_TOOLTIP_05	Erobre Helligdommene
MISTS_ISLAND_TOOLTIP_06	1. For at kunne fange en helligdom, skal den først ødelægges.
MISTS_ISLAND_TOOLTIP_07	2. Det rige som har flest kombattanter i nærheden efter 1 minut, vil fange helligdommen.
MISTS_ISLAND_TOOLTIP_08	3. Efter 3 minutter, vil helligdommen komme frem igen i de rigets farver som har fanget den.
MISTS_ISLAND_TOOLTIP_09	4. Jo længere en helligdom har været under kontrol af det samme rige, jo svære vil den være at ødelægge.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	titusind
MONETARY_UNIT2	hundrede millioner
MONEY_INPUT_DIALOG_SELLPRICE	Salgspris:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Annuller
MOVE_CHANNEL_NOTICE	Du er forbundet til kanal %d.
MOVE_CHANNEL_NOT_MOVE	Du kan ikke skifte din kanal.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Kanaler
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Du kan ikke flytte genstande mens du har en privat butik åben.
MUSIC_EMPTY_MUSIC_LIST	Ingen baggrundsmusik.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Standardmusik
MUSIC_NOT_SELECT_MUSIC	Du har ikke valgt nogen musikfil.
NEEFD_REST	Du bliver nød til at hvile dig.
NOT_YET_SUPPORT	Bliver ikke understøttet.
OPEN_THE_SPECIAL_ACTION_KIT	%s tilføjet til følelser.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Du kan ikke aktivere Ordens-mode, hvis du ikke er medlem i en Orden.
OPTION_PVPMODE_NOT_SUPPORT	Du kan ikke bruge denne PvP-konfiguration.
OPTION_PVPMODE_PROTECT	Du skal mindst have opnået Level %d for at ændre PvP-konfigurationen.
PARTY_ANSWER_TIMEOVER	Invitationen blev afvist.
PARTY_BONUS_ATTACKER	Angrebsværdi: +%d	SA
PARTY_BONUS_BERSERKER	Angrebshastighed: +%d	SA
PARTY_BONUS_BUFFER	Færdighedslængde: +%d	SA
PARTY_BONUS_DEFENDER	Forsvar: +%d	SA
PARTY_BONUS_EXP	Bonus-erfaring: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d	SA
PARTY_BONUS_TANKER	Max HP: +%d	SA
PARTY_BREAK_UP	Fjern gruppe
PARTY_DO_YOU_ACCEPT	 vil være med i gruppen.
PARTY_DO_YOU_JOIN	 har inviteret dig til gruppen. Accepter?
PARTY_EXP_DISTRIBUTION_MODE	EXP-fordeling
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level-fordeling
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Højere level får mere EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Jævn fordeling
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle gruppemedlemmer får samme EXP.
PARTY_HEAL_ALL_MEMBER	Gendan alt
PARTY_INCREASE_AREA_150	Gruppens rækkevidde blev øget med en faktor 1,5.	SNA
PARTY_INCREASE_AREA_200	Gruppens rækkevidde blev øget med en faktor 2.	SNA
PARTY_LEAVE	Forlad gruppen.
PARTY_LONGTIME_BONUS_EXP	Bonus-EXP for langt gruppespil: +%d%%	SA
PARTY_MATCH_CANCEL	Gruppe søgningen for %s er blevet annulleret.
PARTY_MATCH_FAIL_FULL_MEMBER	Din gruppe kan ikke acceptere flere medlemmer.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Du kan ikke registrere dig til denne fangehul.
PARTY_MATCH_FAIL_LEVEL	Din level er for lavt.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Medlemmet %s opfylder ikke de nødvendige krav.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Vælg venligst et fangehul først.
PARTY_MATCH_FAIL_NOT_LEADER	Kun gruppe lederen kan registrer.
PARTY_MATCH_FAIL_NO_ITEM	Du har ikke nok %s.
PARTY_MATCH_SEARCHING	Søg
PARTY_MATCH_START	Du har registreret din gruppe til følgende fangehul: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Kald gruppemedlemmer.
PARTY_REGEN_BONUS	Bonus for HP- og MP-regeneration: +%d%%	SA
PARTY_REQUEST_DENIED	Du har afvist gruppe-invitationen.
PARTY_RK_CATEGORY_CZ_CHICKEN	You Vagt Rangliste
PARTY_RK_CATEGORY_CZ_COW	Chou Vagt Rangliste
PARTY_RK_CATEGORY_CZ_DOG	Xu Vagt Rangliste
PARTY_RK_CATEGORY_CZ_DRAGON	Chen Vagt Rangliste
PARTY_RK_CATEGORY_CZ_HORSE	Wu Vagt Rangliste
PARTY_RK_CATEGORY_CZ_MONKEY	Shen Vagt Rangliste
PARTY_RK_CATEGORY_CZ_MOUSE	Zi Vagt Rangliste
PARTY_RK_CATEGORY_CZ_PIG	Hai Vagt Rangliste
PARTY_RK_CATEGORY_CZ_RABBIT	Mao Vagt Rangliste
PARTY_RK_CATEGORY_CZ_SHEEP	Wei Vagt Rangliste
PARTY_RK_CATEGORY_CZ_SNAKE	Si Vagt Rangliste
PARTY_RK_CATEGORY_CZ_TIGER	Yin Vagt Rangliste
PARTY_SET_ATTACKER	Definer som angriber.
PARTY_SET_BERSERKER	Definer som Berserker.
PARTY_SET_BUFFER	Definer som Blocker.
PARTY_SET_DEFENDER	Definer som forsvar.
PARTY_SET_NORMAL	Fjern indstillingerne.
PARTY_SET_SKILL_MASTER	Definer som færdighedsmester.
PARTY_SET_TANKER	Indstil til nærkamp.
PARTY_SKILL_ATTACKER	Basis-angrebsværdi angriber +%.0f	
PARTY_SKILL_BERSERKER	Angrebshastighed Berserker +%.0f
PARTY_SKILL_BUFFER	Færdighedslængde blokering +%.0f
PARTY_SKILL_DEFENDER	Forsvar forsvarer +%.0f
PARTY_SKILL_HP_REGEN	HP-regeneration +%.0f%%
PARTY_SKILL_PARTY_AREA	Grupperækkevidde +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP færdighedsmester +%.0f
PARTY_SKILL_SP_REGEN	MP-regeneration +%.0f%%
PARTY_SKILL_TANKER	Max. HP nærkamp +%.0f
PARTY_SKILL_WARP	Kan påkalde gruppemedlemmer.
PASSWORD_TITLE	Gem kodeord
PET_ATTR_CHANGE_DIALOG_TEXT	Kunne du tænke dig at ændre dit kæledyrs egenskaber nu?\n'Fortryl Kæledyr' genstanden vil blive brugt i denne proces.\nProcessen kan mislykkes.
PET_ATTR_CHANGE_USE	Denne handling kan ikke udføres mens kæledyrets egenskaber bliver ændret.
PET_ATTR_DETERMINE_TYPE1	Kæledyr Type 1: klodset. Ikke særlig stærk.\nEfter noget tid kan du forbedre dens færdigheder.
PET_ATTR_DETERMINE_TYPE2	Kæledyr Type 2: nysgerrig. Ikke særlig stærk.\nEn loyal ledsager hvis færdigheder vil forbedre sig med tiden.
PET_ATTR_DETERMINE_TYPE3	Kæledyr Type 3: åndrig. Gennemsnitlig styrke.\nEfter noget tid kan du forbedre dens færdigheder.
PET_ATTR_DETERMINE_TYPE4	Kæledyr Type 4: modig. Gennemsnitlig styrke.\nEn loyal ledsager hvis færdigheder vil forbedre sig med tiden.
PET_ATTR_DETERMINE_TYPE5	Kæledyr Type 5: dristig. Stærk.\nEfter noget tid kan du forbedre dens færdigheder endnu mere.
PET_ATTR_DETERMINE_TYPE6	Kæledyr Type 6: legendarisk. Stærk.\nEn loyal ledsager hvis færdigheder vil forbedre sig endnu mere med tiden.
PET_ATTR_DETERMINE_TYPE7	Kæledyr Type 7: mytisk. Meget stærk.\nDen vil nå dens fulde potentiale efter noget tid.
PET_ATTR_DETERMINE_TYPE8	Kæledyr Type 8: prismatisk. Ekstrem stærk.\nEn loyal ledsager som du altid kan stole på.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Du kan ikke fodre dit kæledyr mens forædlings vinduet er åbent.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Du kan ikke ændre egenskaberne på en død kæledyr.
PET_CAN_NOT_EGG_ITEM_USE	Du kan ikke åbne din Inkubator mens du handler, eller mens du har dit lagerrum eller en privat butik åben.
PET_CAN_NOT_FEED_SPLIT_ITEM	Du kan ikke placere nogle delte genstande i dette vindue.
PET_CAN_NOT_FEED_TYPE	Du kan ikke fodre dit kæledyr med dette. Prøv venligst med noget andet.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Dit kæledyr skal være level %d for at kunne træne og fremme det til næste stadie af udviklingen.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Dit kæledyr skal have 100% erfaring for at kunne træne og fremme det til næste stadie af udviklingen.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Dit kæledyr har allerede opnået det højeste stadie inden for udviklingen.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Du kan ikke åbne en privat butik når du har tilkaldt dit kæledyr.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Dit kæledyr skal være %d dage gammel for at kunne træne og fremme det til næste stadie af udviklingen.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Du kan ikke kalde på dit kæledyr, fordi varigheden er udløbet.
PET_CAN_NOT_USE_BAG	Du kan ikke benytte Transportkassen, fordi dit kæledyr allerede er udløbet.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Kæledyret har ikke nogen færdigheder at nulstille.
PET_HATCHING_ACCEPT	Ønsker du at tilkalde dit kæledyr '%s'?
PET_HATCHING_MONEY	Pris: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Du kan ikke udføre andre handlinger mens Inkubatoren er åben.
PET_INFORMATION_STAGE1	Ung
PET_INFORMATION_STAGE2	Vild
PET_INFORMATION_STAGE3	Tapper
PET_INFORMATION_STAGE4	Heroisk
PET_INFO_EXP	Nuværende erfaring:
PET_INFO_ITEM_EXP	Nuværende genstand EXP
PET_INFO_NEXT_EXP	Tilbageværende erfaring:
PET_INFO_NEXT_ITEM_EXP	Resterende genstand EXP
PET_MSG_NOT_ENOUGH_MONEY	Du har ikke nok Yang.
PET_NAME_CHANGE_ACCEPT	Vil du skifte dit kæledyrs navn til %s?
PET_NAME_MIN	Det indtastede navn er for kort.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Der er ingen kæledyr at genoplive.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Du har ikke nok materialer.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Færdigheder er nu tilgængelige.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Nulstilling af dit kæledyrs færdighed(er) kan ikke fortrydes.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Ønsker du at fortsætte?
PET_SKILL_LEARN_FAIL_CONDITIONS	Dit kæledyr er ikke gammelt nok eller har ikke den nødvendige level. Kun heroiske kæledyr kan lære færdigheder.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Ønsker du at starte helte træning med '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Klargørings-tid: %s sekunder
PET_SKILL_TOOLTIP_DURATION	Varighed: %d sekunder
PET_SKILL_TOOLTIP_FEATHER	Kæledyret har en %d%% chance for at aktivere Fjervandring i %.1f sekunder.\n Angrib %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Når din HP falder til under 20%%, har du \n en %d%% chance for t øge din HP med %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Din karakter har en %d%% chance for at blive usynlig\n når din HP falder til under 10%%. \n Effekt varighed: %.1f sekunder.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Der er en %d%% chance for med det samme at fjerne \n alle effekter såsom langsom, gift eller blødning, hvis din\n karakter er påvirket.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Øg helte træning til næste stadie?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Pris: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Forsvar
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Udløbet
PET_TOOLTIP_SKILL_BONUS_VALUE	i helte træning
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Næste level: %d (maks. %d)
PET_TOOLTIP_SP	MP
PET_TOOLTIP_TRADABLE	Omsættelig
PET_TOOLTUP_SKILL	%s (Stadie %d)
PICK_ITEM_TITLE	Genstandsnr.
PICK_MONEY_TITLE	Bidrag
PRIVATESHOPSEARCH_ABLITY_POTION	Dug
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Fint tøj
PRIVATESHOPSEARCH_ARMOR	Udstyr
PRIVATESHOPSEARCH_ARROW	Pile
PRIVATESHOPSEARCH_BELL	Klokker
PRIVATESHOPSEARCH_BELT	Bælter
PRIVATESHOPSEARCH_BLEND	Eliksirer
PRIVATESHOPSEARCH_BLOOD_PEARL	Blodrød perle
PRIVATESHOPSEARCH_BLUE_PEARL	Blå perle
PRIVATESHOPSEARCH_BODY	Rustning
PRIVATESHOPSEARCH_BOW	Buer
PRIVATESHOPSEARCH_BUYTIME	Ønsker du at købe den valgte genstand?
PRIVATESHOPSEARCH_CLAW	Kløer
PRIVATESHOPSEARCH_CLEAR_POTION	Eliksirer
PRIVATESHOPSEARCH_COSTUME	Kostumer
PRIVATESHOPSEARCH_COSTUMEBODY	Kostume
PRIVATESHOPSEARCH_COSTUMEHAIR	Frisure
PRIVATESHOPSEARCH_COSTUME_ACCE	Skulderbånd
PRIVATESHOPSEARCH_COSTUME_MOUNT	Ganger
PRIVATESHOPSEARCH_CRYSTAL	Krystal
PRIVATESHOPSEARCH_DAGGER	Knive
PRIVATESHOPSEARCH_DEAD	Død
PRIVATESHOPSEARCH_DETACHMENT	Sten-håndbog
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Drage stens alkymist
PRIVATESHOPSEARCH_DS_BLACK	Onyks
PRIVATESHOPSEARCH_DS_BLUE	Safir
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Rubin
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Granat
PRIVATESHOPSEARCH_EAR	Øreringe
PRIVATESHOPSEARCH_FAN	Vifter
PRIVATESHOPSEARCH_FISH	Fisk
PRIVATESHOPSEARCH_FOOTS	Sko
PRIVATESHOPSEARCH_GEM	Ædelsten
PRIVATESHOPSEARCH_GIFTBOX	Gaveæsker
PRIVATESHOPSEARCH_HEAD	Hjelme
PRIVATESHOPSEARCH_LIVE	I live
PRIVATESHOPSEARCH_MATERIAL	Materialer
PRIVATESHOPSEARCH_METIN	Åndesten
PRIVATESHOPSEARCH_NECK	Halskæder
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Du kan ikke købe nogen genstande uden det rigtige bundt.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Du kan ikke søge efter nogen genstande uden det rigtige bundt.
PRIVATESHOPSEARCH_NODELAY_POTION	HP genstande
PRIVATESHOPSEARCH_ORE	Malm
PRIVATESHOPSEARCH_PET	Kæledyrs system
PRIVATESHOPSEARCH_PETAGG	Kæledyrs æg
PRIVATESHOPSEARCH_PETSKILLBOOK	Kæledyrs færdighedsbog
PRIVATESHOPSEARCH_PICK	Spidshakker
PRIVATESHOPSEARCH_POTION	Eliksirer
PRIVATESHOPSEARCH_QUEST	Mission
PRIVATESHOPSEARCH_QUIVER	Kogger
PRIVATESHOPSEARCH_RESOURCE	Genstand forbedring
PRIVATESHOPSEARCH_ROD	Medestænger
PRIVATESHOPSEARCH_SELECTITEM	Genstand valgt
PRIVATESHOPSEARCH_SHIELD	Skjold
PRIVATESHOPSEARCH_SKILLBOOK	Færdighedsbøger
PRIVATESHOPSEARCH_SKILLFORGET	Glemsomhedens Bog
PRIVATESHOPSEARCH_SPECIAL	Forskelligt
PRIVATESHOPSEARCH_STONE	Energi fragmenter
PRIVATESHOPSEARCH_SWORD	En-håndssværd
PRIVATESHOPSEARCH_TREASUREBOX	Kister
PRIVATESHOPSEARCH_TUNING	Dokumenter
PRIVATESHOPSEARCH_TWOSWORD	Tohåndssværd
PRIVATESHOPSEARCH_UNIQUE	Enestående
PRIVATESHOPSEARCH_USEITEM	Forbrugsartikler
PRIVATESHOPSEARCH_USESPECIAL	Forskelligt
PRIVATESHOPSEARCH_WEAPON	Våben
