ACCE_ABSORB_COST	Absorberingsprijs: %d
MAP_PATHWAY_FLAME_02	Vuurland Koninkrijk Gevecht
MAP_PATHWAY_FLAME_03	Vuurland Koninkrijk Gevecht
MAP_PATHWAY_ICE_01	IJsland Koninkrijk Gevecht
MAP_PATHWAY_ICE_02	Speelland
MAP_PATHWAY_ICE_03	IJsland Koninkrijk Gevecht
MAP_SKELTOWER	Gumsan Toren
MAP_SKIPIA_DUNGEON_01	Grot der Verbanning
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grot der Verbanning 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Drakentempel
MAP_SKIPIA_DUNGEON_BOSS_1	Spinnenkerker 1
MAP_SKIPIA_DUNGEON_BOSS_2	Spinnenkerker 2
MAP_SKIPIA_DUNGEON_BOSS_3	Spinnenkerker 3
MAP_SNOW	Berg Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Spinnenkerker 1
MAP_SPIDERDUNGEON_02	Spinnenkerker 2
MAP_SPIDERDUNGEON_02_1	Spinnenkerker 2
MAP_SPIDERDUNGEON_03	Spinnenkerker 3
MAP_SUNGZI	Koninkrijk Gevecht
MAP_SUNGZI_DESERT_01	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_DESERT_HILL_01	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_DESERT_HILL_02	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_DESERT_HILL_03	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_FLAME_HILL_01	Vuurland Koninkrijk Gevecht
MAP_SUNGZI_FLAME_HILL_02	Vuurland Koninkrijk Gevecht
MAP_SUNGZI_FLAME_HILL_03	Vuurland Koninkrijk Gevecht
MAP_SUNGZI_SNOW	IJsland Koninkrijk Gevecht
MAP_SUNGZI_SNOW_PASS01	IJsland Koninkrijk Gevecht
MAP_SUNGZI_SNOW_PASS02	IJsland Koninkrijk Gevecht
MAP_SUNGZI_SNOW_PASS03	IJsland Koninkrijk Gevecht
MAP_T1	Gilde Oorlog Gebied
MAP_T2	Gilde Oorlog Gebied
MAP_T3	Gilde Oorlog Gebied
MAP_T4	Gilde Oorlog Gebied
MAP_TEMPLE	Hwang Tempel	
MAP_THUNDER	Donder Gebergte
MAP_TREE	Lungsam	
MAP_TRENT	Spoken Woud
MAP_TRENT02	Rode Bos
MAP_TRENT02_A	Rood Bos
MAP_TRENT_A	
MAP_WEDDING_01	Trouwkaart
MAP_WL	Slangenveld
MAP_WL_01	Slangenveld
MC_ACCUMULATION_COUNT	Verzamelde Monsterkaarten: %d
MC_ALTER_TEXT	Opdrachtlevel: %d
MC_CARD_FALL_SHORT	Onvoldoende geregistreerde kaarten.
MC_CARD_SHUFFLE	Wil je de kaarten schudden?
MC_INIT_ITEM_FALL_SHORT	Je hebt %d Herstel Ticket(s) nodig.
MC_MISSION_FAIL_MSG	Geen actieve opdracht of limiet overschreden.
MC_MISSION_INIT	Wil je de opdracht herstellen naar level 1?
MC_MISSION_NO_CLEAR	Je moet de opdracht eerst voltooien.
MC_MOTION_BUTTON_OVER_MSG	Deze optie is alleen beschikbaar vanaf 2 sterren.
MC_POLY_BUTTON_OVER_MSG	Deze optie is alleen beschikbaar vanaf 3 sterren.
MC_POLY_FAIL	Je kunt op dit moment niet transformeren.
MC_POLY_QUESTION	Wil je in dit monster transformeren?
MC_PROMOTION_MAX	Kan niet verder gepromoveerd worden.
MC_PROMOTION_QUESTION	Wil je het level verhogen?
MC_QUESTION_BUTTON_DESC1	Kan slechts 6 keer hersteld worden binnen 24 uur.
MC_QUESTION_BUTTON_DESC2	Elke opeenvolgende herstelactie vereist meer Herstel Tickets.
MC_QUESTION_BUTTON_DESC3	Klik hier om de resterende afkoelperiode te bekijken.
MC_REWARD_FAIL	Er is niet genoeg ruimte in je inventaris.
MC_REWARD_MISSION	Wil jij jouw Monsterkaart nu komen innen?
MC_SHUFFLE_NO_ITEM	Je hebt geen Herschud Ticket.
MC_TIME	Afkoelperiode: %s
MC_TRADE_QUESTION	%d kaarten worden afgelegd. Wil je doorgaan?
MC_USE_ITEM_FAIL	Deze kaart kan niet toegevoegd worden.
MC_USE_ITEM_QUESTION	Wil je deze Monsterkaart toevoegen?
MC_WARP_BUTTON_OVER_MSG	Deze optie is alleen beschikbaar vanaf 4 sterren.
MC_WARP_FAIL	Je kunt niet meer teleporteren.
MC_WARP_LIMIT_LEVEL	Je huidige level is niet hoog genoeg om te teleporteren.
MC_WARP_QUESTION	Wil je naar het gebied van dit monster teleporteren?
MD_POPUP_MSG_1	Je kunt alleen binnentreden vanuit de Zodiac Tempel.
MD_POPUP_MSG_2	De Zodiac Wachters moeten weer op krachten komen.\nGeef ze wat tijd.
MD_SYSTEM_MSG_1	Je bent geen zombie. Je kunt niet vechten als je dood bent.
MEDAL_OF_HONOR	Medaille van Heldhaftigheid
MEDAL_OF_HONOR_SYSTEM_PICK	Item ontvangen: Medaille van Heldhaftigheid x %d
MESSENGER_ADD_BLOCK_FRIEND	Toevoegen
MESSENGER_ADD_FRIEND	Voeg Vriend toe	
MESSENGER_BLOCK	Geblokkeerd
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s heeft je als vriend toegevoegd.	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepteren?	
MESSENGER_DO_YOU_DELETE	Verwijderen?	
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Wil je de Mobiele Telefoonnummer verwijderen?	
MESSENGER_DO_YOU_MOVE	Wil je doorgaan?	
MESSENGER_EMPTY_LIST	Leeg	
MESSENGER_FAMILY	Familie	
MESSENGER_FRIEND	Vrienden	
MESSENGER_GUILD	Gilde	
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Voer het confirmatie nummer in dat naar je mobiele telefoon is gestuurd.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Voer confirmatie nummer in	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Voer mobiele telefoon nummer in voor het sms.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Wil je nu het nummer invoeren?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Voer mobiele telefoon nummr in.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Stuur bericht.	
METIN_TEST	
MINIGAMEUI_CALENDAR	Evenementenkalender
MINIGAME_FISH_EVENT_ADD_ACCEPT	Wil je dit toevoegen?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Wil je dit item echt laten vallen?
MINIGAME_FISH_EVENT_REWARD_MSG	Je hebt %s ontvangen.
MINIGAME_FISH_EVENT_USE_ACCEPT	Wil je dit gebruiken?
MINIMAP	Open Mini Map	
MINIMAP_CANNOT_SEE	Mini Map kan niet gezien worden.	
MINIMAP_CAN_NOT_SHOW_AREAMAP	Mini Map kan niet getoond worden.
MINIMAP_DEC_SCALE	Uit zoomen
MINIMAP_INC_SCALE	Inzoomen	
MINIMAP_OBSERVER_COUNT	%d toeschouwers	
MINIMAP_OPEN_INGAMEEVENT	Evenementen
MINIMAP_SHOW_AREAMAP	Open Grote Map	
MINI_GAME_BNW_DONATE_QUESTION1	Wil je doneren?
MINI_GAME_BNW_DONATE_QUESTION2	Een donatie kost 15 Ziener Munten.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Wil je het spel echt verlaten?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Onthoud dat je beloningen kunt verdienen als je wint.
MINI_GAME_BNW_GAME_RESULT_DRAW	Gelijkspel! Je hebt %d Ziener Munt(en) verdiend.
MINI_GAME_BNW_GAME_RESULT_LOSE	Verslagen! Je hebt %d Ziener Munt(en) verdiend.
MINI_GAME_BNW_GAME_RESULT_SCORE	Score: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Overwinning! Je hebt %d Ziener Munt(en) verdiend.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Er is niet genoeg ruimte in je inventaris.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Je hebt een Tarotset nodig om te kunnen spelen.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Je hebt niet genoeg Yang om het spel te starten.
MINI_GAME_BNW_RESULT_DRAW1	Jouw nummer is hetzelfde.
MINI_GAME_BNW_RESULT_DRAW2	Gelijkspel!
MINI_GAME_BNW_RESULT_LOSE1	Jouw nummer is lager.
MINI_GAME_BNW_RESULT_LOSE2	Verslagen!
MINI_GAME_BNW_RESULT_WIN1	Jouw nummer is hoger.
MINI_GAME_BNW_RESULT_WIN2	Overwinning!
MINI_GAME_BNW_START_QUESTION	Je hebt een Tarotset en 30.000 Yang nodig om te kunnen spelen. Wil jij meedoen met het Duel van de Zieners?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Als je meerdere %s inzet wordt je beloond met hetzelfde aantal kisten.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximale inzet: %d Koningsstokken.
MINI_GAME_CATCHKING_HELP_MSG1	Wat jammer! De waarde van jouw kaart is lager.\nJe verdient geen punten. Kies een nieuwe kaart uit jouw stok.
MINI_GAME_CATCHKING_HELP_MSG2	Goed gedaan! De kaarten hebben dezelfde waarde.\nJe beurt is voorbij. Kies een nieuwe kaart uit jouw stok.
MINI_GAME_CATCHKING_HELP_MSG3	Ga zo door! De waarde van jouw kaart is hoger.\nDraai nog een kaart om.
MINI_GAME_CATCHKING_HELP_MSG4	Er lag een [5] in de buurt van de kaart die je onthuld hebt.\nHelaas ontvang je geen punten. Selecteer nu jouw Koning [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	De koning is ontsnapt! Het spel is afgelopen. \nAls je minimaal 10 punten verdient hebt kun je nu je prijs ophalen.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Je kunt geen prijs ophalen.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Er ligt een [5] in de buurt.
MINI_GAME_CATCHKING_START_QUESTION	Je moet het volgende betalen voor een potje: %d Yang en %s: %d stuks\nWil je nu spelen?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Kan de volgende kaart gevangen nemen: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Kan de volgende kaarten gevangen nemen: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Kan de volgende kaarten gevangen nemen: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Kan de volgende kaarten gevangen nemen: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Kan de volgende kaarten gevangen nemen: [1], [2], [3], [4], [5]\nAls er nog een [5] in de buurt ligt van de kaart die je onthult,\ndan eindigt je beurt en ontvang je geen punten.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Kan de volgende kaart gevangen nemen: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 of meer
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 tot 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 tot 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Je ontvangt 10 bonuspunten als je alle kaarten op een rij onthult.
MINI_GAME_GIVEUP_QUESTION	Wil je het spel echt verlaten? Je zult geen beloning ontvangen.
MINI_GAME_NOTICE_1	Klik op 'Werpen' om de startspeler te bepalen.
MINI_GAME_NOTICE_10	Ha! Je hebt de computer uitgeschakeld!
MINI_GAME_NOTICE_11	Pech! De computer heeft jou uitgeschakeld.
MINI_GAME_NOTICE_12	Je had Yut of Mo en kan opnieuw werpen.
MINI_GAME_NOTICE_13	Het spel is afgelopen. Haal je beloning op.
MINI_GAME_NOTICE_2	Yut Staven werpen.
MINI_GAME_NOTICE_3	De computer werpt Yut Staven om te startspeler te bepalen.
MINI_GAME_NOTICE_4	Je hebt gelijkgespeeld of de computer had de laagste werpscore. De computer zal beginnen.
MINI_GAME_NOTICE_5	Jij had de laagste werpscore en mag beginnen.
MINI_GAME_NOTICE_6	Jouw worp: %s. Beweeg %d veld(en) vooruit.
MINI_GAME_NOTICE_7	Jouw worp: %s. Je moet 1 veld achteruit bewegen.
MINI_GAME_NOTICE_8	Worp: %s
MINI_GAME_NOTICE_9	De computer is aan de beurt.
MINI_GAME_RUMI_DISCARD_QUESTION	Weet je zeker dat je deze kaart wil afleggen?
MINI_GAME_RUMI_EXIT_QUESTION	Wil je het spel beëindigen en je beloning uitbetaald krijgen?\nJe score en resterende kaarten worden gereset!
MINI_GAME_RUMI_START_QUESTION	Je moet een bedrag van %d Yang betalen om te mogen spelen. Je hebt ook %d Kaartenset(s) nodig.\nWil je het spel starten?
MINI_GAME_YUTNORI_COM_WIN	Soms win je, soms verlies je.
MINI_GAME_YUTNORI_PC_WIN	De buit is aan de overwinnaar!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Score: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Werpen
MINI_GAME_YUTNORI_RETHROW_POPUP	Geluksvogel! Het is weer jouw beurt.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Je hebt %d Yang en %d Yut Nori Bord nodig om een spelletje Yut Nori te spelen. \n Nu spelen?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energie +2
MISTS_ISLAND_BUFF_MSG_02	Item Drop-percentage +10%
MISTS_ISLAND_BUFF_MSG_03	Kracht, Intelligentie, Vitaliteit, Behendigheid +3
MISTS_ISLAND_BUFF_MSG_04	Yang Drop-percentage +10%
MISTS_ISLAND_BUFF_MSG_05	Kostuumbonussen +3%
MISTS_ISLAND_INFO_01	Jouw level is te laag.
MISTS_ISLAND_INFO_02	Niet genoeg Yang.
MISTS_ISLAND_INFO_03	Er vind momenteel geen gevecht plaats.
MISTS_ISLAND_MSG_01	%s is vernietigd door %s!
MISTS_ISLAND_MSG_02	%s heeft %s gevangen!
MISTS_ISLAND_MSG_03	%s heeft %s bezet!
MISTS_ISLAND_MSG_04	%s valt %s aan!
MISTS_ISLAND_MSG_05	%s heeft de %s met succes verbeterd naar level %d!
MISTS_ISLAND_MSG_06	%s is verschenen op het strijdtoneel!
MISTS_ISLAND_QUESTION_01	Wil je de Slag om de Vijf Altaren verlaten?
MISTS_ISLAND_QUESTION_02	Wil je teleporteren naar het recentelijk aangevallen altaar? \n Kosten: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Bezettend Koninkrijk: %s
MISTS_ISLAND_TOOLTIP_03	Verbeteringslevel: +%d
MISTS_ISLAND_TOOLTIP_04	Bezettings-buff: %s
MISTS_ISLAND_TOOLTIP_05	Veroveren van de Altaren
MISTS_ISLAND_TOOLTIP_06	1. Om een altaar in te nemen moet het eerst vernietigd worden.
MISTS_ISLAND_TOOLTIP_07	2. Het koninkrijk waarvan de meeste strijdkrachten in de buurt zijn na één minuut zal het altaar bezetten.
MISTS_ISLAND_TOOLTIP_08	3. Na drie minuten zal het altaar opnieuw verschijnen in de kleur van het koninkrijk waar het door bezet is.
MISTS_ISLAND_TOOLTIP_09	4. Hoe langer een altaar onder bevel staat van hetzelfde koninkrijk, des te moeilijker het zal zijn om het te vernietigen.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Tien Duizend	
MONETARY_UNIT2	Honderd Miljard	
MONEY_INPUT_DIALOG_SELLPRICE	Verkoop Prijs:	
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Annuleren
MOVE_CHANNEL_NOTICE	Je bent verbonden met kanaal %d.
MOVE_CHANNEL_NOT_MOVE	Je kunt je kanaal niet veranderen.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Kanalen
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Je kunt geen voorwerpen verplaatsen wanneer je een privé Warenhuis hebt geopend.
MUSIC_EMPTY_MUSIC_LIST	Geen Achtergrond muziek.	
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standaard muziek.	
MUSIC_NOT_SELECT_MUSIC	Geen Muziek bestand geselecteerd.	
NEEFD_REST	Je moet eerst rusten.	
NOT_YET_SUPPORT	Nog niet ondersteund	
OPEN_THE_SPECIAL_ACTION_KIT	%s toegevoegd aan emoties.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Je kunt Gilde Modus niet activeren wanneer je niet bij een Gilde hoort.	
OPTION_PVPMODE_NOT_SUPPORT	Je kunt deze configuratie niet kiezen in PvP Modus.	
OPTION_PVPMODE_PROTECT	Je moet minstens level %d hebben om de PvP Modus te veranderen.	
PARTY_ANSWER_TIMEOVER	De uitnodiging is geweigerd.
PARTY_BONUS_ATTACKER	Aanvals Waarde: +%d	SA
PARTY_BONUS_BERSERKER	Aanvals Snelheid: +%d	SA
PARTY_BONUS_BUFFER	Vaardig. duur: +%d	SA
PARTY_BONUS_DEFENDER	Verdediging: +%d	SA
PARTY_BONUS_EXP	Bonus ERV: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. TP: +%d	SA
PARTY_BONUS_TANKER	Max. LP: +%d	SA
PARTY_BREAK_UP	Verwijder Groep	
PARTY_DO_YOU_ACCEPT	 will zich aansluiten bij de Groep.
PARTY_DO_YOU_JOIN	 heeft je uitgenodigd om in de groep te komen. Accepteer?
PARTY_EXP_DISTRIBUTION_MODE	ERV Verdeling	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level afhankelijk
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Hoger Level groepsleden ontvangen meer ERV.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Gelijk
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle Groepsleden ontvangen dezelfde ERV.	
PARTY_HEAL_ALL_MEMBER	Herstel alles.	
PARTY_INCREASE_AREA_150	Bereik van de GRoep verhoogt met een factor 1.5.	SNA
PARTY_INCREASE_AREA_200	Bereik van de Groep veerhoogd met een factor 2.	SNA
PARTY_LEAVE	Groep verlaten
PARTY_LONGTIME_BONUS_EXP	Bonus ERV voor een lange groeps spel: +%d%%	SA
PARTY_MATCH_CANCEL	De groepszoekactie voor %s is geannuleerd.
PARTY_MATCH_FAIL_FULL_MEMBER	Jouw groep kan niet meer leden accepteren.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Je kunt niet aanmelden voor deze kerker.
PARTY_MATCH_FAIL_LEVEL	Jouw level is te laag.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Het lid %s voldoet niet aan de noodzakelijke vereisten.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Kies a.u.b. eerst een kerker.
PARTY_MATCH_FAIL_NOT_LEADER	Alleen de groepsleider kan aanmelden.
PARTY_MATCH_FAIL_NO_ITEM	Je hebt niet genoeg %s.
PARTY_MATCH_SEARCHING	Zoeken
PARTY_MATCH_START	Je hebt je groep aangemeld voor de volgende kerker: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Roep een Groepslid.	
PARTY_REGEN_BONUS	Bonus voor LP- + TP  regeneratie: +%d%%	SA
PARTY_REQUEST_DENIED	Je uitnodiging is afgeslagen.
PARTY_RK_CATEGORY_CZ_CHICKEN	You Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_COW	Chou Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_DOG	Xu Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_DRAGON	Chen Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_HORSE	Wu Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_MONKEY	Shen Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_MOUSE	Zi Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_PIG	Hai Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_RABBIT	Mao Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_SHEEP	Wei Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_SNAKE	Si Wachter Ranglijst
PARTY_RK_CATEGORY_CZ_TIGER	Yin Wachter Ranglijst
PARTY_SET_ATTACKER	Voor Aanvaller uitmaken.	
PARTY_SET_BERSERKER	Voor Woesteling uitmaken.	
PARTY_SET_BUFFER	Voor Blokkeerder uitmaken.	
PARTY_SET_DEFENDER	Voor Verdediger uitmaken.	
PARTY_SET_NORMAL	Instellingen terugtrekken.	
PARTY_SET_SKILL_MASTER	Voor Vaardigheid Meester uitmaken.	
PARTY_SET_TANKER	Als Mesvechter vastleggen	
PARTY_SKILL_ATTACKER	Basis Aanvals Waarde Aanvaller +%.0f	
PARTY_SKILL_BERSERKER	Aanval Snelheid Woesteling  +%.0f	
PARTY_SKILL_BUFFER	Vaardig. Duur Block +%.0f	
PARTY_SKILL_DEFENDER	Verdediging Verdediger +%.0f	
PARTY_SKILL_HP_REGEN	LP Regeneratie +%.0f%%	
PARTY_SKILL_PARTY_AREA	Groeps Bereik +%d%%	
PARTY_SKILL_SKILL_MASTER	Max. TP Vaardigheden Meester +%.0f	
PARTY_SKILL_SP_REGEN	TP Regeneratie +%.0f%%	
PARTY_SKILL_TANKER	Max. LP Mes Vechter +%.0f	
PARTY_SKILL_WARP	Mogelijk om groepsleden te roepen.	
PASSWORD_TITLE	Warenhuis wachtwoord
PET_ATTR_CHANGE_DIALOG_TEXT	Wil je de attributen van je huisdier nu aanpassen?\nHet item 'Betoverd Huisdier' zal gebruikt worden voor dit proces.\nHet proces kan echter mislukken.
PET_ATTR_CHANGE_USE	Deze actie kan niet uitgevoerd worden wanneer huisdierattributen aangepast worden.
PET_ATTR_DETERMINE_TYPE1	Huisdiertype 1: onhandig. Niet bijzonder sterk.\nOp den duur kun je zijn vaardigheden verbeteren.
PET_ATTR_DETERMINE_TYPE2	Huisdiertype 2: nieuwsgierig. Niet bijzonder sterk.\nEen trouwe metgezel wiens vaardigheden na verloop van tijd verbeteren.
PET_ATTR_DETERMINE_TYPE3	Huisdiertype 3: levendig. Gemiddelde kracht.\nOp den duur kun je zijn vaardigheden verbeteren.
PET_ATTR_DETERMINE_TYPE4	Huisdiertype 4: moedig. Gemiddelde kracht.\nEen trouwe metgezel wiens vaardigheden na verloop van tijd verbeteren.
PET_ATTR_DETERMINE_TYPE5	Huisdiertype 5: brutaal. Sterk.\nOp den duur kun je zijn vaardigheden verder verbeteren.
PET_ATTR_DETERMINE_TYPE6	Huisdiertype 6: legendarisch. Sterk.\nEen trouwe metgezel wiens vaardigheden zelfs na verloop van tijd verbeteren.
PET_ATTR_DETERMINE_TYPE7	Huisdiertype 7: mythisch. Enorm sterk.\nZal zijn volledige potentie mettertijd bereiken.
PET_ATTR_DETERMINE_TYPE8	Huisdiertype 8: prismatisch. Extreem sterk.\nEen trouwe compagnon waar je altijd op kunt bouwen.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Je kunt je huisdier niet voeren wanneer het verbeteringsscherm geopend is.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Je kunt geen attributen van een dood huisdier aanpassen.
PET_CAN_NOT_EGG_ITEM_USE	Je kunt je Broedmachine niet openen tijdens het handelen of terwijl je jouw Opslag of Privé Warenhuis open hebt.
PET_CAN_NOT_FEED_SPLIT_ITEM	Je kunt geen verdeelde items plaatsen in dit venster.
PET_CAN_NOT_FEED_TYPE	Zo kun je jouw huisdier niet voeren. Probeer a.u.b. iets anders.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Je huisdier moet level %d zijn om te trainen en promoveren naar het volgende level van evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Je huisdier moet 100% ervaring hebben om te trainen en promoveren naar het volgende level van evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Je huisdier heeft het hoogste level van evolutie al bereikt.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Je kunt geen Privé Warenhuis openen als je jouw huisdier opgeroepen hebt.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Je huisdier moet %d dagen oud zijn om te trainen en promoveren naar het volgende level van evolutie.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Je kunt je huisdier niet oproepen omdat de duur verlopen is.
PET_CAN_NOT_USE_BAG	Je kunt de Transporteer Doos niet gebruiken omdat je huisdier al verlopen is.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Je huisdier heeft geen vaardigheden om te resetten.
PET_HATCHING_ACCEPT	Wil je jouw huisdier '%s' noemen?
PET_HATCHING_MONEY	Prijs: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Je kunt geen andere interacties uitvoeren terwijl de Broedmachine geopend is.
PET_INFORMATION_STAGE1	Jong
PET_INFORMATION_STAGE2	Wild
PET_INFORMATION_STAGE3	Moedig
PET_INFORMATION_STAGE4	Heroïsch
PET_INFO_EXP	Huidige ervaring:
PET_INFO_ITEM_EXP	Huidig Item EXP
PET_INFO_NEXT_EXP	Resterende ervaring:
PET_INFO_NEXT_ITEM_EXP	Resterend Item EXP
PET_MSG_NOT_ENOUGH_MONEY	Je hebt niet genoeg Yang.
PET_NAME_CHANGE_ACCEPT	Wil je de naam van je huisdier veranderen in %s?
PET_NAME_MIN	De ingevoerde naam is te kort.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Er is geen huisdier om tot leven te wekken.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Je hebt niet genoeg materialen.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Vaardigheden zijn nu beschikbaar.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Het resetten van de vaardigheden van je huisdier is onomkeerbaar.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Wil je doorgaan?
PET_SKILL_LEARN_FAIL_CONDITIONS	Je huisdier is niet oud genoeg of heeft het vereiste level nog niet bereikt. Alleen heroïsche huisdieren kunnen vaardigheden leren.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Wil je de heldentraining starten met '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Afkoelperiode: %s seconden
PET_SKILL_TOOLTIP_DURATION	Duur: %d seconden
PET_SKILL_TOOLTIP_FEATHER	Het huisdier heeft een kans van %d%% om Vederlicht Lopen te activeren voor %.1f seconden.\n Aanval %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Als je LP onder de 20%% komt, heb je een \n kans van %d%% om je LP te verhogen met %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Je karakter heeft een kans van %d%% om onkwetsbaar\n te worden als je LP onder 10%% zakt. \n Effectduur: %.1f seconden.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Er is een kans van %d%% om onmiddellijk \n alle effecten zoals langzaam, gif of bloeden te stoppen als je\n karakter hierdoor beïnvloed is.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Heldentraining verhogen naar volgend level?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Kosten: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Verdediging
PET_TOOLTIP_HP	LP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Verlopen
PET_TOOLTIP_SKILL_BONUS_VALUE	in heldentraining
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: %d
