ACCE_ABSORB_COST	Стоимость поглощения: %d
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Удалить номер моб.телефона?
MESSENGER_DO_YOU_MOVE	Дальше?
MESSENGER_EMPTY_LIST	Пусто
MESSENGER_FAMILY	Семья
MESSENGER_FRIEND	Друзья
MESSENGER_GUILD	Гильдия
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Введите номер подтверждения, посланный на ваш мобильный.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Ввести номер подтверждения.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Введите номер своего мобильного тел.для передачи смс.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Ввести номер сейчас?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Ввести номер мобильного телефона
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Отправить сообщение.
METIN_TEST	
MINIGAMEUI_CALENDAR	Календарь событий
MINIGAME_FISH_EVENT_ADD_ACCEPT	Хотите это добавить?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Вы точно хотите бросить этот предмет?
MINIGAME_FISH_EVENT_REWARD_MSG	Получено %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	Хотите это применить?
MINIMAP	Открыть мини-карту
MINIMAP_CANNOT_SEE	Показ мини-карты невозможен.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Показ карты невозможен.
MINIMAP_DEC_SCALE	Уменьшить
MINIMAP_INC_SCALE	Увеличить
MINIMAP_OBSERVER_COUNT	%d Наблюдатель
MINIMAP_OPEN_INGAMEEVENT	События
MINIMAP_SHOW_AREAMAP	Открыть большую карту
MINI_GAME_BNW_DONATE_QUESTION1	Хотите сделать взнос?
MINI_GAME_BNW_DONATE_QUESTION2	Для взноса нужно 15 монет провидца.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Вы точно хотите прервать игру?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Награды вы получите, только если выиграете.
MINI_GAME_BNW_GAME_RESULT_DRAW	Ничья! Вы получаете монеты провидца: %d.
MINI_GAME_BNW_GAME_RESULT_LOSE	Поражение! Вы получаете монеты провидца: %d.
MINI_GAME_BNW_GAME_RESULT_SCORE	Итоговый результат: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Победа! Вы получаете монеты провидца: %d.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	У вас не хватает места в инвентаре.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Для игры вам нужен набор карт таро.
MINI_GAME_BNW_NOT_ENOUGH_YANG	У вас не хватает янг для начала игры.
MINI_GAME_BNW_RESULT_DRAW1	У вас одинаковые числа.
MINI_GAME_BNW_RESULT_DRAW2	Ничья!
MINI_GAME_BNW_RESULT_LOSE1	Ваше число меньше.
MINI_GAME_BNW_RESULT_LOSE2	Поражение!
MINI_GAME_BNW_RESULT_WIN1	Ваше число больше.
MINI_GAME_BNW_RESULT_WIN2	Победа!
MINI_GAME_BNW_START_QUESTION	Для игры вам нужны 30 000 янг и набор карт таро. Хотите участвовать в состязании?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	%s: если использовать несколько, получите столько же ларцов в награду.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Колод короля в одной игре: не больше %d.
MINI_GAME_CATCHKING_HELP_MSG1	Увы! Ваша карта младше.\nВы не получаете очков. Выберите новую карту из своей колоды.
MINI_GAME_CATCHKING_HELP_MSG2	Неплохо! У карт одинаковые значения.\n Ваш ход заканчивается. Выберите новую карту из своей колоды.
MINI_GAME_CATCHKING_HELP_MSG3	Так держать! Ваша карта старше.\nВыберите еще одну карту на поле.
MINI_GAME_CATCHKING_HELP_MSG4	Рядом с открытой вами картой лежала пятерка ([5]).\nВы не получаете очков. Теперь выберите своего короля [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Король вышел! Игра окончена. \nЕсли вы набрали 10 очков или больше, то теперь можете забрать приз.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Можете забрать приз.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Рядом лежит пятерка ([5]).
MINI_GAME_CATCHKING_START_QUESTION	За этот кон с вас спишут: %d янг и %s: %d шт.\nХотите сыграть?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Бьет следующие карты: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Бьет следующие карты: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Бьет следующие карты: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Бьет следующие карты: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Бьет следующие карты: [1], [2], [3], [4], [5]\nЕсли рядом с открытой вами картой лежит еще одна [5],\n ход заканчивается, а вы не получаете очков.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Бьет следующие карты: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 или больше
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 – 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 – 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Вы получаете 10 бонусных очков, если открываете все карты в одном ряду.
MINI_GAME_GIVEUP_QUESTION	Вы точно хотите прервать игру? В этом случае вы не получите награду.
MINI_GAME_NOTICE_1	Нажмите на «Бросить», чтобы узнать, кто начнет.
MINI_GAME_NOTICE_10	Ха! Ваш бросок лучше, чем у компьютера.
MINI_GAME_NOTICE_11	Вот так так! Ваш бросок хуже, чем у компьютера.
MINI_GAME_NOTICE_12	У вас выпала Йут или Мо; вы можете бросить еще раз.
MINI_GAME_NOTICE_13	Игра окончена. Получите свою награду.
MINI_GAME_NOTICE_2	Бросьте ют-палочки
MINI_GAME_NOTICE_3	Компьютер бросает ют-палочки, чтобы узнать, кто начинает.
MINI_GAME_NOTICE_4	Начинает компьютер — он выкинул меньше или столько же очков.
MINI_GAME_NOTICE_5	Вы выкинули меньше очков и начинаете.
MINI_GAME_NOTICE_6	Ваш бросок: %s. Перейдите на %d пол. вперед.
MINI_GAME_NOTICE_7	Ваш бросок: %s. Перейдите на 1 поле назад.
MINI_GAME_NOTICE_8	Бросок: %s
MINI_GAME_NOTICE_9	Ходит компьютер.
MINI_GAME_RUMI_DISCARD_QUESTION	Вы действительно хотите сбросить эту карту?
MINI_GAME_RUMI_EXIT_QUESTION	Желаете завершить игру и получить свой выигрыш?\nВ этом случае ваши оставшиеся карты и очки будут обнулены!
MINI_GAME_RUMI_START_QUESTION	Для игры вам потребуется %d янг. Кроме того требуется %d колод(а/ы) карт.\nЖелаете начать игру?
MINI_GAME_YUTNORI_COM_WIN	Иногда ты проигрываешь, а другие выигрывают.
MINI_GAME_YUTNORI_PC_WIN	Видите? Вот так выглядит победитель!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Результат: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Бросить
MINI_GAME_YUTNORI_RETHROW_POPUP	Вот так удача! Можно бросать еще раз.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Чтобы сыграть в ютнори, вам нужны %d янг и %d доска ютнори. \n Сыграть сейчас?
MINUTE	Мин.
MISTS_ISLAND_BUFF_MSG_01	Энергия +2
MISTS_ISLAND_BUFF_MSG_02	Шанс выпадения предметов +10%
MISTS_ISLAND_BUFF_MSG_03	Сила, интеллект, здоровье, подвижность +3
MISTS_ISLAND_BUFF_MSG_04	Шанс выпадения янг +10%
MISTS_ISLAND_BUFF_MSG_05	Бонусы костюма повышаются на 3%
MISTS_ISLAND_INFO_01	У вас слишком низкий уровень.
MISTS_ISLAND_INFO_02	Не хватает янг.
MISTS_ISLAND_INFO_03	Сейчас битвы нет.
MISTS_ISLAND_MSG_01	%s: уничтожено %s!
MISTS_ISLAND_MSG_02	%s захватывает %s!
MISTS_ISLAND_MSG_03	%s занимает %s!
MISTS_ISLAND_MSG_04	%s нападает на %s!
MISTS_ISLAND_MSG_05	%s улучшает %s до уровня %d!
MISTS_ISLAND_MSG_06	%s появляется на поле боя!
MISTS_ISLAND_QUESTION_01	Вы хотите выйти из Битвы пяти святынь?
MISTS_ISLAND_QUESTION_02	Вы хотите перенестись к недавно атакованной святыне? \n Стоимость: %s янг
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Империя-владелец: %s
MISTS_ISLAND_TOOLTIP_03	Уровень улучшения: +%d
MISTS_ISLAND_TOOLTIP_04	Усиление за захват: %s
MISTS_ISLAND_TOOLTIP_05	Захват святынь
MISTS_ISLAND_TOOLTIP_06	1. Чтобы занять святыню, ее сначала нужно уничтожить.
MISTS_ISLAND_TOOLTIP_07	2. Империя, у которой больше всего бойцов рядом со святыней через 1 минуту, захватывает ее.
MISTS_ISLAND_TOOLTIP_08	3. Через 3 минуты святыня появляется в цветах захватившей ее империи.
MISTS_ISLAND_TOOLTIP_09	4. Чем дольше святыня находится под контролем одной и той же империи, тем сложнее ее уничтожить.
MONETARY_UNIT0	янг
MONETARY_UNIT1	десять тысяч
MONETARY_UNIT2	сто миллионов
MONEY_INPUT_DIALOG_SELLPRICE	Продажная цена:
MOVE_CHANNEL_99	К0
MOVE_CHANNEL_CANCEL	Отменить
MOVE_CHANNEL_NOTICE	Вы подключены по каналу %d.
MOVE_CHANNEL_NOT_MOVE	Вы не можете сменить канал.
MOVE_CHANNEL_SELECT	ОК
MOVE_CHANNEL_TITLE	Выбор канала
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Вы не можешь перемещать предмет, когда открыта ваша лавка.
MUSIC_EMPTY_MUSIC_LIST	Без фоновой музыки.
MUSIC_METIN2_DEFAULT_THEMA	Метин 2-стандартная музыка
MUSIC_NOT_SELECT_MUSIC	Музыкальный файл не выбран.
NEEFD_REST	Сперва вы должны отдохнуть.
NOT_YET_SUPPORT	Не поддерживается.
OPEN_THE_SPECIAL_ACTION_KIT	%s: добавлено к эмоциям.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Вы не можете активировать режим Гильдии, пока не являетесь её членом.
OPTION_PVPMODE_NOT_SUPPORT	Вы не можете выбрать режим PvP.
OPTION_PVPMODE_PROTECT	Чтобы использовать PvP Режим, нужно достигнуть хотя бы уровень %d.
PARTY_ANSWER_TIMEOVER	Приглашение отклонено.
PARTY_BONUS_ATTACKER	Показатель атаки: +%d	SA
PARTY_BONUS_BERSERKER	Скорость атаки: +%d	SA
PARTY_BONUS_BUFFER	Продолжительность действия навыков: +%d	SA
PARTY_BONUS_DEFENDER	Защита: +%d	SA
PARTY_BONUS_EXP	Бонус к опыту: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Макс. МП: +%d	SA
PARTY_BONUS_TANKER	Макс. ХП: +%d	SA
PARTY_BREAK_UP	Ликвидировать группу
PARTY_DO_YOU_ACCEPT	---LOCA::SPACE--хотел бы присоединиться к группе.
PARTY_DO_YOU_JOIN	 пригласил вас в группу. Принять приглашение?
PARTY_EXP_DISTRIBUTION_MODE	Распределение опыта
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	В зависимости от уровня
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Участники группы с более высоким уровнем получают больше опыта.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	равномерно
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Все участники группы получают одинаковое количество опыта.
PARTY_HEAL_ALL_MEMBER	Восстановить всё
PARTY_INCREASE_AREA_150	Диапазон группы увеличен в 1,5 раза.	SNA
PARTY_INCREASE_AREA_200	Диапазон группы увеличен в 2 раза.	SNA
PARTY_LEAVE	Покинуть группу
PARTY_LONGTIME_BONUS_EXP	Бонус к опыту за долгую групповую игру: +%d%%	SA
PARTY_MATCH_CANCEL	Поиск группы для [%s] прекращен.
PARTY_MATCH_FAIL_FULL_MEMBER	В вашу группу больше нельзя набирать участников.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Вы не можете регистрироваться для этого подземелья.
PARTY_MATCH_FAIL_LEVEL	У вас слишком низкий уровень.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Участник %s не соответствует требованиям.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Сначала выберите подземелье.
PARTY_MATCH_FAIL_NOT_LEADER	Регистрировать группу может только лидер группы.
PARTY_MATCH_FAIL_NO_ITEM	У вас недостаточно %s.
PARTY_MATCH_SEARCHING	Поиск
PARTY_MATCH_START	Вы зарегистрировали свою группу для подземелья [%s]!
PARTY_MEMBER_OFFLINE	[оффлайн]
PARTY_RECALL_MEMBER	Позвать участника группы.
PARTY_REGEN_BONUS	Бонус за ХП- + МП-регенерация: +%d%%	SA
PARTY_REQUEST_DENIED	Ваше приглашение не принято.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ранги по Стражнику Юй
PARTY_RK_CATEGORY_CZ_COW	Ранги по Стражнику Чжоу
PARTY_RK_CATEGORY_CZ_DOG	Ранги по Стражнику Сюй
PARTY_RK_CATEGORY_CZ_DRAGON	Ранги по Стражнику Чжэнь
PARTY_RK_CATEGORY_CZ_HORSE	Ранги по Стражнику У
PARTY_RK_CATEGORY_CZ_MONKEY	Ранги по Стражнику Шэнь
PARTY_RK_CATEGORY_CZ_MOUSE	Ранги по Стражнику Ци
PARTY_RK_CATEGORY_CZ_PIG	Ранги по Стражнику Хай
PARTY_RK_CATEGORY_CZ_RABBIT	Ранги по Стражнику Мао
PARTY_RK_CATEGORY_CZ_SHEEP	Ранги по Стражнику Вэй
PARTY_RK_CATEGORY_CZ_SNAKE	Ранги по Стражнику Сы
PARTY_RK_CATEGORY_CZ_TIGER	Ранги по Стражнику Инь
PARTY_SET_ATTACKER	Определить Бойцом атаки.
PARTY_SET_BERSERKER	Определить  Берсеркером.
PARTY_SET_BUFFER	Определить  Блокирующим.
PARTY_SET_DEFENDER	Определить Защитником.
PARTY_SET_NORMAL	Отменить установку.
PARTY_SET_SKILL_MASTER	Определить  Мастером навыков.
PARTY_SET_TANKER	Определить Бойцом ближнего боя.
PARTY_SKILL_ATTACKER	Базовый показатель атаки Нападающий +%.0f
PARTY_SKILL_BERSERKER	Скорость атаки Берсеркер +%.0f
PARTY_SKILL_BUFFER	Длительность навыка Блокирущий +%.0f
PARTY_SKILL_DEFENDER	Защита Защитник +%.0f
PARTY_SKILL_HP_REGEN	ХП-регенерация +%.0f%%
PARTY_SKILL_PARTY_AREA	Диапазон группы +%d%%
PARTY_SKILL_SKILL_MASTER	Максим. МП Мастер навыков +%.0f
PARTY_SKILL_SP_REGEN	МП-регенерация +%.0f%%
PARTY_SKILL_TANKER	Максим. ХП Боец ближнего боя +%.0f
PARTY_SKILL_WARP	Вправе вызвать участника группы.
PASSWORD_TITLE	Пароль для склада
PET_ATTR_CHANGE_DIALOG_TEXT	Хотите изменить параметры своего питомца?\n При этом тратится предмет «Зачаровать питомца».\n Можно потерпеть неудачу
PET_ATTR_CHANGE_USE	Пока параметры питомца изменяются, это действие выполнять нельзя.
PET_ATTR_DETERMINE_TYPE1	Тип питомца 1: неуклюжий. Не слишком сильный.\nСо временем его навыки можно развить.
PET_ATTR_DETERMINE_TYPE2	Тип питомца 2: любопытный. Не слишком сильный.\nВерный спутник, чьи навыки растут со временем.
PET_ATTR_DETERMINE_TYPE3	Тип питомца 3: отважный. Достаточно сильный.\nСо временем его навыки можно развить.
PET_ATTR_DETERMINE_TYPE4	Тип питомца 4: храбрый. Достаточно сильный.\nВерный спутник, чьи навыки еще растут со временем.
PET_ATTR_DETERMINE_TYPE5	Тип питомца 5: безрассудный. Сильный.\nСо временем его навыки можно развить.
PET_ATTR_DETERMINE_TYPE6	Тип питомца 6: легендарный. Сильный.\nВерный спутник, чьи навыки еще больше растут со временем.
PET_ATTR_DETERMINE_TYPE7	Тип питомца 7: мифический. Очень сильный.\nСо временем раскроет весь свой потенциал.
PET_ATTR_DETERMINE_TYPE8	Тип питомца 8: призматический. Невероятно сильный.\nВерный спутник, на которого можно положиться.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Вы не можете кормить питомца, пока открыто окно улучшения.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Вы не можете изменять параметры мертвого питомца.
PET_CAN_NOT_EGG_ITEM_USE	Вы не можете открыть инкубатор во время торга, пока открыт ваш склад или лавка.
PET_CAN_NOT_FEED_SPLIT_ITEM	Вы не можете поместить в это окно разделенный предмет.
PET_CAN_NOT_FEED_TYPE	Так вы, к сожалению, не можете кормить питомца. Попробуйте еще раз с помощью другого действия.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Для того, чтобы обучить и повысить степень питомца до следующего уровня, уровень питомца должен быть %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Для того, чтобы обучить и повысить степень развития питомца, у него должно быть 100% опыта.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Ваш питомец уже достиг высшего уровня.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Вы не можете открыть лавку если призвали питомца.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Для того, чтобы обучить и повысить степень питомца до следующего уровня, питомцу должно быть %d дней.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Вы не можете призвать питомца так как его срок действия уже истек.
PET_CAN_NOT_USE_BAG	Вы не можете использвоть Транспортную клетку так как срок действия вашего питомца истек.
PET_EMPTY_SKILL_SLOT_USE_ITEM	У питомца нет навыков, которые можно сбросить.
PET_HATCHING_ACCEPT	Желаете назвать своего питомца "%s"?
PET_HATCHING_MONEY	Цена: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Когда у вас открыт инкубатор, вы не можете выполнять какие-либо взаимодействия.
PET_INFORMATION_STAGE1	Молодой
PET_INFORMATION_STAGE2	Дикий
PET_INFORMATION_STAGE3	Отважный
PET_INFORMATION_STAGE4	Героический
PET_INFO_EXP	Текущий опыт:
PET_INFO_ITEM_EXP	Текущие очки опыта предмета
PET_INFO_NEXT_EXP	Оставшийся опыт:
PET_INFO_NEXT_ITEM_EXP	Оставшиеся очки опыта предмета
PET_MSG_NOT_ENOUGH_MONEY	У вас недостаточно янг.
PET_NAME_CHANGE_ACCEPT	Хотите поменять имя питомца на «%s»?
PET_NAME_MIN	Введенное имя слишком коротко.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Нет питомца для оживления.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	У вас недостаточно материалов.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Навыки теперь доступны.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Сброс навыка(-ов) вашего питомца нельзя отменить.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Хотите продолжить?
PET_SKILL_LEARN_FAIL_CONDITIONS	Ваш питомец слишком молод или слишком низкой ступени. Навыки могут изучать только героические питомцы.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Желаете начать обучение с "%s"?
PET_SKILL_TOOLTIP_COOLTIME	Время перезарядки: %d секунд
PET_SKILL_TOOLTIP_DURATION	Срок: %d секунд
PET_SKILL_TOOLTIP_FEATHER	Питомец активирует Легкую походку с вероятностью в %d%% на %.1f сек.\n Атака %d - %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Как только ваши ХП снижаются до 20%%, вы получаете \n %d%% шанс на восстановление %d ХП.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Ваш персонаж становится непобедим с  %d%% шансом,\n если ваши ХП упадут ниже  10%%. \n Срок действия эффекта: %.1f секунд.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Мгновенно устраняет негативные эффекты такие как, отравление, замедление \n или кровотечение с %d%% шансом, если ваш персонаж поражен.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Повысить обучение героя на следующую ступень развития?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Затраты: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Защита
PET_TOOLTIP_HP	ХП
PET_TOOLTIP_LEVEL	Уровень
PET_TOOLTIP_LIFETIME_OVER	Время истекло
PET_TOOLTIP_SKILL_BONUS_VALUE	в процессе обучения героя
PET_TOOLTIP_SKILL_CUR_LEVEL	Уровень: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Следующий уровень: %d (макс. %d)
PET_TOOLTIP_SP	МП
PET_TOOLTIP_TRADABLE	Подлежит торгу
PET_TOOLTUP_SKILL	%s (Ступень %d)
PICK_ITEM_TITLE	Номер предмета
PICK_MONEY_TITLE	Стоимость
PRIVATESHOPSEARCH_ABLITY_POTION	Роса
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Тонкое сукно
PRIVATESHOPSEARCH_ARMOR	Снаряжение
PRIVATESHOPSEARCH_ARROW	Стрелы
PRIVATESHOPSEARCH_BELL	Колокольчики
PRIVATESHOPSEARCH_BELT	Пояса
PRIVATESHOPSEARCH_BLEND	Зелья
PRIVATESHOPSEARCH_BLOOD_PEARL	Алая жемчужина
PRIVATESHOPSEARCH_BLUE_PEARL	Голубая жемчужина
PRIVATESHOPSEARCH_BODY	Доспехи
PRIVATESHOPSEARCH_BOW	Луки
PRIVATESHOPSEARCH_BUYTIME	Желаете купить выбранный предмет?
PRIVATESHOPSEARCH_CLAW	Когти
PRIVATESHOPSEARCH_CLEAR_POTION	Эликсиры
PRIVATESHOPSEARCH_COSTUME	Костюмы
PRIVATESHOPSEARCH_COSTUMEBODY	Костюмы
PRIVATESHOPSEARCH_COSTUMEHAIR	Прическа
PRIVATESHOPSEARCH_COSTUME_ACCE	Шарфы
PRIVATESHOPSEARCH_COSTUME_MOUNT	Ездовое животное
PRIVATESHOPSEARCH_CRYSTAL	Кристалл
PRIVATESHOPSEARCH_DAGGER	Кинжалы
PRIVATESHOPSEARCH_DEAD	мертвый
PRIVATESHOPSEARCH_DETACHMENT	Книга Камня
PRIVATESHOPSEARCH_DIAMOND	Алмаз
PRIVATESHOPSEARCH_DS	Алхимия Камней Дракона
PRIVATESHOPSEARCH_DS_BLACK	Оникс
PRIVATESHOPSEARCH_DS_BLUE	Сапфир
PRIVATESHOPSEARCH_DS_GREEN	Нефрит
PRIVATESHOPSEARCH_DS_RED	Рубин
PRIVATESHOPSEARCH_DS_WHITE	Алмаз
PRIVATESHOPSEARCH_DS_YELLOW	Гранат
PRIVATESHOPSEARCH_EAR	Серьги
PRIVATESHOPSEARCH_FAN	Веера
PRIVATESHOPSEARCH_FISH	Рыба
PRIVATESHOPSEARCH_FOOTS	Обувь
PRIVATESHOPSEARCH_GEM	Самоцветы
PRIVATESHOPSEARCH_GIFTBOX	Подарочные ларцы
PRIVATESHOPSEARCH_HEAD	Шлемы
PRIVATESHOPSEARCH_LIVE	живой
PRIVATESHOPSEARCH_MATERIAL	Требуемые материалы
PRIVATESHOPSEARCH_METIN	Камни духа
PRIVATESHOPSEARCH_NECK	Ожерелья
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Без нужного узелка вы не можете покупать предметы.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Без нужного узелка вы не можете искать предметы.
PRIVATESHOPSEARCH_NODELAY_POTION	Предметы для ХП
PRIVATESHOPSEARCH_ORE	Руда
PRIVATESHOPSEARCH_PET	Система улучшения питомца
PRIVATESHOPSEARCH_PETAGG	Яйца питомцев
PRIVATESHOPSEARCH_PETSKILLBOOK	Книга навыков питомца
PRIVATESHOPSEARCH_PICK	Кирки
PRIVATESHOPSEARCH_POTION	Зелья
PRIVATESHOPSEARCH_QUEST	Задание
PRIVATESHOPSEARCH_QUIVER	Колчаны
PRIVATESHOPSEARCH_RESOURCE	Улучшение предметов
PRIVATESHOPSEARCH_ROD	Рыбная ловля
PRIVATESHOPSEARCH_SELECTITEM	Предмет выбран
PRIVATESHOPSEARCH_SHIELD	Щиты
PRIVATESHOPSEARCH_SKILLBOOK	Книги навыков
PRIVATESHOPSEARCH_SKILLFORGET	Книга забвения
PRIVATESHOPSEARCH_SPECIAL	Прочее
PRIVATESHOPSEARCH_STONE	Энергетический фрагмент
PRIVATESHOPSEARCH_SWORD	Одноручные мечи
PRIVATESHOPSEARCH_TREASUREBOX	Ларцы
PRIVATESHOPSEARCH_TUNING	Свитки
PRIVATESHOPSEARCH_TWOSWORD	Двуручные мечи
PRIVATESHOPSEARCH_UNIQUE	Уникальный
PRIVATESHOPSEARCH_USEITEM	Расходные материалы
PRIVATESHOPSEARCH_USESPECIAL	Прочее
PRIVATESHOPSEARCH_WEAPON	Оружия
PRIVATESHOPSEARCH_WHITE_PEARL	Белая жемчужина
PRIVATESHOPSEARCH_WRIST	Браслеты
PRIVATE_SHOP_CANNOT_SELL_ITEM	Этот предмет нельзя купить в лавке.
PRIVATE_SHOP_CLOSE_QUESTION	Хотите закрыть лавку?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Имя лавки
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Цена
PVP_LEVEL0	по-рыцарски
PVP_LEVEL1	благородно
PVP_LEVEL2	хорошо
PVP_LEVEL3	дружелюбный
PVP_LEVEL4	нейтральный
PVP_LEVEL5	агрессивный
PVP_LEVEL6	коварный
PVP_LEVEL7	злобный
PVP_LEVEL8	жестокий
PVP_MODE_GUILD	PvP-Режим гильдии активирован
PVP_MODE_KILL	Свободное PvP активировано
PVP_MODE_NORMAL	PvP-мир активирован
PVP_MODE_PROTECT	PvP-защита активирована
PVP_MODE_REVENGE	PvP-враждебный активировано
PVP_OPTION_KILL	Свободный
PVP_OPTION_NORMAL	Мир
PVP_OPTION_PROTECT	Защита
PVP_OPTION_REVENGE	враждебный
PVP_TOURNAMENT_DO_NOT_AUTO	Во время PvP-турнира нельзя использовать автоатаку.
QUEST_APPEND	Новое задание  принято.
QUEST_HOUR	Час(ы)
QUEST_MIN	Мин.
QUEST_SEC	Сек.
QUEST_TIMEOVER	Время исстекло.
QUEST_UNLIMITED_TIME	Без ограничения времени
QUEST_ZEROSEC	0 сек.
QUICKSLOT_REGISTER_DISABLE_ITEM	Этот предмет не может быть добавлен в поле быстрого доступа.
RANKING	Ранг
RANKING_BOARD_MEMBER	Участники
RECEIVE_MESSAGE	%s отправил вам сообщение.
REFINE_COST	Затраты на улучшение: %d янг
REFINE_DESTROY_WARNING	Вероятность разрушения предмета при его улучшении.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Вы точно хотите улучшить предмет?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	В случае неудачи предмет будет разрушен. Хотите продолжить?
REFINE_DOWN_GRADE_WARNING	Вероятность потери некоторых свойств предмета при попытке его улучшить.
REFINE_DO_YOU_SEPARATE_METIN	Вы хотите удалить Камень духа?
REFINE_ELEMENT_CHANGE_TEXT	У %s теперь стихия %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Степень заклятия стихий понижена.
REFINE_ELEMENT_EXIST	У этого предмета уже есть другая стихия.
REFINE_ELEMENT_GRADE_MAX	Уже достигнута максимальная степень заклятия стихий.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	Заклятие стихий доступно только для оружия +7 или выше.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Не хватает янг.
REFINE_ELEMENT_NOT_EXSIT	Нельзя использовать с этим предметом.
REFINE_ELEMENT_TEXT_DARK	Тьма +%d
REFINE_ELEMENT_TEXT_EARTH	Земля +%d
